"Epoch","base","base+","cutout","mixup","cutmix"
"112","0.8772","0.9031","0.9064","0.9112","0.9093"
"113","0.863","0.9067","0.9062","0.9037","0.9168"
"114","0.8784","0.9148","0.8933","0.9012","0.9045"
"115","0.8696","0.9047","0.9122","0.9012","0.9198"
"116","0.8784","0.9116","0.8968","0.9172","0.9062"
"117","0.8634","0.9065","0.919","0.9149","0.9153"
"118","0.8816","0.8967","0.9043","0.9054","0.9121"
"119","0.8871","0.9096","0.9111","0.9172","0.9133"
"120","0.8811","0.8984","0.9174","0.9051","0.9137"
"121","0.9079","0.9394","0.9404","0.9372","0.9471"
"122","0.9124","0.9441","0.9436","0.9387","0.9464"
"123","0.9103","0.9414","0.9444","0.9388","0.9455"
"124","0.9116","0.9442","0.9434","0.9382","0.947"
"125","0.9124","0.9429","0.9441","0.94","0.949"
"126","0.9124","0.9436","0.9459","0.9424","0.95"
"127","0.9128","0.9413","0.9467","0.9417","0.9489"
"128","0.9129","0.9432","0.9456","0.94","0.951"
"129","0.9124","0.9416","0.9456","0.9384","0.948"
"130","0.9121","0.9395","0.9458","0.9385","0.9506"
"131","0.9117","0.9416","0.9446","0.945","0.9471"
"132","0.9125","0.9402","0.9414","0.9429","0.9509"
"133","0.9127","0.9424","0.9452","0.9416","0.9512"
"134","0.9131","0.9425","0.9443","0.9436","0.9483"
"135","0.913","0.942","0.9434","0.9423","0.9498"
"136","0.912","0.942","0.9428","0.9421","0.9496"
"137","0.9122","0.9439","0.9432","0.9402","0.9494"
"138","0.9114","0.9407","0.9428","0.9404","0.949"
"139","0.9132","0.941","0.9431","0.9433","0.9499"
"140","0.9117","0.9425","0.9429","0.943","0.9489"
"141","0.9121","0.9422","0.9435","0.9428","0.9494"
"142","0.9115","0.9414","0.9433","0.9396","0.9523"
"143","0.9124","0.9398","0.9455","0.9427","0.9509"
"144","0.9128","0.9406","0.9437","0.9406","0.949"
"145","0.9121","0.9413","0.9436","0.9402","0.9384"
"146","0.9135","0.9404","0.9429","0.9404","0.9477"
"147","0.9122","0.939","0.9438","0.9373","0.9455"
"148","0.9126","0.9409","0.9433","0.9381","0.9432"
"149","0.9117","0.9383","0.9412","0.9415","0.9442"
"150","0.9136","0.9414","0.9444","0.9329","0.9488"
"151","0.9127","0.9417","0.9415","0.9401","0.9493"
"152","0.9124","0.9409","0.9367","0.9363","0.9448"
"153","0.9127","0.9402","0.9418","0.9406","0.9479"
"154","0.9116","0.9387","0.9421","0.9407","0.9476"
"155","0.9116","0.9379","0.9426","0.9384","0.9435"
"156","0.9116","0.9412","0.942","0.9384","0.9474"
"157","0.9132","0.9384","0.9415","0.9378","0.9446"
"158","0.9114","0.9347","0.9393","0.9403","0.9468"
"159","0.9115","0.94","0.9434","0.9346","0.9454"
"160","0.9105","0.9347","0.9372","0.9409","0.9478"
"161","0.9111","0.9424","0.9479","0.947","0.955"
"162","0.9121","0.9426","0.9479","0.9498","0.956"
"163","0.9104","0.9426","0.9493","0.9502","0.9564"
"164","0.9117","0.9436","0.9497","0.9504","0.9569"
"165","0.9115","0.9432","0.9503","0.9492","0.9565"
"166","0.9114","0.9432","0.9509","0.9504","0.957"
"167","0.9118","0.9452","0.9499","0.9486","0.955"
"168","0.9112","0.9452","0.9503","0.9495","0.957"
"169","0.9109","0.9461","0.9515","0.9508","0.9573"
"170","0.911","0.9452","0.9497","0.9504","0.9578"
"171","0.9117","0.946","0.9496","0.9486","0.9565"
"172","0.9114","0.9461","0.9492","0.949","0.9571"
"173","0.9127","0.945","0.9485","0.9506","0.9571"
"174","0.9115","0.9439","0.9481","0.9497","0.9581"
"175","0.9111","0.9444","0.9498","0.95","0.9569"
"176","0.9103","0.9439","0.9505","0.9511","0.9544"
"177","0.9115","0.9459","0.9503","0.9499","0.9585"
"178","0.9116","0.946","0.9505","0.9523","0.9569"
"179","0.9109","0.9456","0.9486","0.9504","0.9575"
"180","0.9117","0.9459","0.9481","0.9512","0.9563"
"181","0.9122","0.9459","0.9502","0.9538","0.9557"
"182","0.9119","0.9468","0.9492","0.9503","0.9557"
"183","0.9104","0.9465","0.9495","0.9523","0.9584"
"184","0.9109","0.9454","0.9512","0.9489","0.9573"
"185","0.911","0.9466","0.9494","0.9498","0.9583"
"186","0.9116","0.9458","0.9508","0.9498","0.9586"
"187","0.911","0.9463","0.9495","0.9498","0.9589"
"188","0.9113","0.9467","0.9492","0.949","0.9559"
"189","0.9102","0.9473","0.9485","0.9493","0.9569"
"190","0.9121","0.9465","0.9474","0.9484","0.9564"
"191","0.9116","0.9481","0.9485","0.9494","0.956"
"192","0.9119","0.9469","0.9513","0.9488","0.9554"
"193","0.9123","0.9472","0.9481","0.9484","0.956"
"194","0.9127","0.9465","0.9487","0.9476","0.9582"
"195","0.9113","0.9472","0.9512","0.9474","0.9567"
"196","0.912","0.9474","0.9509","0.9477","0.9568"
"197","0.9126","0.9467","0.9493","0.9468","0.9574"
"198","0.9112","0.947","0.9505","0.947","0.9567"
"199","0.9111","0.9467","0.9498","0.9488","0.9578"
"200","0.9114","0.9466","0.9501","0.951","0.9579"
