"Epoch","base","base+","cutout","mixup","cutmix"
"93","0.2598","0.3281","0.2898","0.3294","0.2907"
"94","0.2596","0.3151","0.2857","0.3378","0.2761"
"95","0.2572","0.3271","0.2981","0.3348","0.2731"
"96","0.2594","0.3115","0.3026","0.3433","0.2861"
"97","0.2615","0.3143","0.3048","0.3384","0.2919"
"98","0.2638","0.334","0.2948","0.338","0.2824"
"99","0.2604","0.3152","0.2936","0.3332","0.2774"
"100","0.2577","0.3278","0.2996","0.3214","0.2781"
"101","0.2593","0.3176","0.299","0.3481","0.2944"
"102","0.2554","0.3214","0.3118","0.3403","0.2904"
"103","0.2548","0.3186","0.2992","0.3368","0.2895"
"104","0.2453","0.322","0.308","0.3428","0.3016"
"105","0.2579","0.3299","0.3045","0.3289","0.304"
"106","0.2547","0.3076","0.2918","0.3432","0.2588"
"107","0.2524","0.3137","0.311","0.3476","0.2724"
"108","0.2606","0.3291","0.2978","0.3517","0.292"
"109","0.2508","0.3261","0.2967","0.3323","0.2784"
"110","0.2627","0.3341","0.3098","0.3456","0.2798"
"111","0.2522","0.3119","0.2936","0.3405","0.2932"
"112","0.2522","0.2989","0.2871","0.3551","0.2898"
"113","0.2525","0.3264","0.3005","0.3347","0.286"
"114","0.255","0.3251","0.2972","0.3419","0.2895"
"115","0.2481","0.2906","0.2993","0.3121","0.2754"
"116","0.2475","0.3352","0.3084","0.3484","0.2972"
"117","0.2511","0.3261","0.2988","0.3175","0.2891"
"118","0.2502","0.3281","0.2826","0.3403","0.2837"
"119","0.2515","0.3191","0.2998","0.3353","0.2951"
"120","0.249","0.3322","0.3034","0.3344","0.2992"
"121","0.2688","0.3747","0.3427","0.3857","0.3358"
"122","0.2646","0.3823","0.3465","0.3882","0.3336"
"123","0.2637","0.3826","0.3554","0.3855","0.3357"
"124","0.2606","0.3861","0.3558","0.3792","0.3384"
"125","0.2577","0.3766","0.3575","0.3881","0.3375"
"126","0.2596","0.3827","0.3574","0.383","0.3425"
"127","0.2573","0.379","0.3477","0.3922","0.3448"
"128","0.255","0.3929","0.358","0.3898","0.3412"
"129","0.2549","0.3793","0.357","0.3841","0.3394"
"130","0.2548","0.3823","0.3551","0.3886","0.3447"
"131","0.2518","0.389","0.3613","0.3915","0.3274"
"132","0.2496","0.3859","0.3571","0.3903","0.3426"
"133","0.2522","0.3869","0.3591","0.3934","0.3395"
"134","0.2529","0.3874","0.358","0.3979","0.3398"
"135","0.2503","0.39","0.36","0.3979","0.3477"
"136","0.2505","0.3876","0.3605","0.39","0.3471"
"137","0.248","0.3952","0.3518","0.3945","0.3297"
"138","0.2483","0.3869","0.3584","0.3896","0.3229"
"139","0.2505","0.3904","0.3571","0.3951","0.3451"
"140","0.248","0.3781","0.3572","0.3978","0.3371"
"141","0.2458","0.3853","0.3617","0.4034","0.3388"
"142","0.2462","0.3875","0.3582","0.4003","0.3399"
"143","0.2447","0.3893","0.355","0.3896","0.3435"
"144","0.2478","0.3873","0.3604","0.3991","0.3446"
"145","0.2472","0.3945","0.3525","0.3932","0.3402"
