"Epoch","base","base+","cutout","mixup","cutmix"
"1","0.2097","0.2037","0.2162","0.203","0.1659"
"2","0.3082","0.3102","0.3427","0.3207","0.2343"
"3","0.4899","0.498","0.4636","0.394","0.2621"
"4","0.5459","0.6273","0.532","0.5119","0.3037"
"5","0.6248","0.6502","0.5546","0.5742","0.4555"
"6","0.6149","0.6655","0.5889","0.5675","0.4463"
"7","0.7024","0.7433","0.6839","0.6279","0.5922"
"8","0.7582","0.6919","0.6943","0.6275","0.6544"
"9","0.7556","0.7668","0.7305","0.6856","0.5896"
"10","0.7058","0.7595","0.7071","0.7402","0.6641"
"11","0.7755","0.7851","0.6555","0.7021","0.6617"
"12","0.7673","0.7248","0.675","0.7685","0.7021"
"13","0.7532","0.7543","0.7743","0.7287","0.6118"
"14","0.7613","0.7615","0.7351","0.7486","0.7178"
"15","0.772","0.7876","0.7671","0.6846","0.7364"
"16","0.7436","0.7374","0.7641","0.7717","0.7387"
"17","0.7597","0.7625","0.7298","0.7304","0.6943"
"18","0.7592","0.7922","0.7657","0.7869","0.6809"
"19","0.7995","0.7691","0.7245","0.7608","0.7379"
"20","0.7601","0.8089","0.7371","0.7319","0.736"
"21","0.7629","0.7567","0.7528","0.7568","0.7302"
"22","0.7952","0.7911","0.7596","0.7892","0.7413"
"23","0.7506","0.8102","0.7946","0.7563","0.7105"
"24","0.7772","0.8043","0.7793","0.6801","0.7409"
"25","0.791","0.8093","0.7689","0.7778","0.7681"
"26","0.7598","0.8026","0.7909","0.7985","0.7071"
"27","0.7506","0.7588","0.7715","0.7963","0.7132"
"28","0.7547","0.8146","0.8046","0.7442","0.7075"
"29","0.751","0.8069","0.7736","0.807","0.731"
"30","0.7814","0.806","0.7822","0.7962","0.7575"
"31","0.7733","0.7686","0.8057","0.7991","0.7457"
"32","0.7724","0.762","0.7777","0.767","0.739"
"33","0.796","0.7885","0.804","0.7163","0.7367"
"34","0.779","0.7956","0.7942","0.7645","0.7893"
"35","0.7836","0.8291","0.8052","0.7838","0.761"
"36","0.7665","0.7836","0.7627","0.7794","0.7793"
"37","0.7805","0.8192","0.727","0.7607","0.7704"
"38","0.7573","0.7793","0.7948","0.7766","0.7874"
"39","0.7677","0.8176","0.7947","0.7633","0.7657"
"40","0.7837","0.7799","0.7712","0.7993","0.7901"
"41","0.7839","0.7877","0.7939","0.7844","0.7724"
"42","0.7539","0.8039","0.7784","0.761","0.7058"
"43","0.7176","0.8033","0.7438","0.8036","0.7911"
"44","0.7264","0.8247","0.771","0.8128","0.7897"
"45","0.7834","0.8097","0.8146","0.737","0.7507"
"46","0.7904","0.7874","0.799","0.7847","0.7664"
"47","0.7652","0.8309","0.7796","0.7742","0.773"
"48","0.7722","0.7961","0.7647","0.7844","0.8117"
"49","0.7627","0.7951","0.763","0.7931","0.7836"
"50","0.7768","0.8093","0.8066","0.7945","0.7854"
"51","0.7986","0.8268","0.7927","0.7586","0.7519"
"52","0.7529","0.8069","0.8131","0.792","0.7786"
"53","0.8019","0.8236","0.7507","0.7743","0.7578"
"54","0.8077","0.7996","0.778","0.7896","0.7735"
"55","0.7625","0.7733","0.8007","0.7504","0.7677"
"56","0.7593","0.8345","0.7868","0.791","0.7462"
"57","0.8005","0.8136","0.8061","0.7853","0.7596"
"58","0.6925","0.8036","0.8216","0.7952","0.7401"
"59","0.777","0.8234","0.7802","0.7688","0.7928"
"60","0.7475","0.795","0.7947","0.7878","0.7432"
"61","0.8547","0.8886","0.8719","0.8811","0.8648"
"62","0.8597","0.8877","0.8815","0.8772","0.8708"
"63","0.8628","0.8936","0.8774","0.8817","0.8743"
"64","0.8621","0.8965","0.8891","0.8838","0.8696"
"65","0.8625","0.8943","0.8857","0.88","0.8788"
"66","0.8628","0.8919","0.8914","0.875","0.8775"
"67","0.8623","0.8853","0.8791","0.8633","0.8691"
"68","0.8637","0.8914","0.8813","0.8701","0.8709"
"69","0.8634","0.8843","0.8759","0.8791","0.8828"
"70","0.8631","0.8914","0.8913","0.8842","0.872"
"71","0.8634","0.8796","0.8864","0.8726","0.8545"
"72","0.863","0.8898","0.8786","0.8727","0.8805"
"73","0.8634","0.8742","0.8761","0.8779","0.8788"
"74","0.8647","0.8838","0.8728","0.8864","0.8739"
"75","0.8646","0.89","0.8858","0.8602","0.8738"
"76","0.8651","0.8661","0.8776","0.8833","0.8647"
"77","0.8656","0.8775","0.8772","0.8837","0.8781"
"78","0.8652","0.8751","0.8851","0.8796","0.8688"
"79","0.8657","0.8832","0.8692","0.8682","0.8703"
"80","0.8663","0.8755","0.8741","0.8721","0.8562"
"81","0.8657","0.8857","0.8728","0.8692","0.8697"
"82","0.8674","0.8661","0.8801","0.8744","0.8605"
"83","0.8673","0.8776","0.8723","0.8694","0.8586"
"84","0.8668","0.8826","0.8788","0.8545","0.8661"
"85","0.8678","0.8884","0.8872","0.8728","0.8648"
"86","0.8681","0.8655","0.8815","0.8627","0.8684"
"87","0.867","0.8744","0.882","0.873","0.8809"
"88","0.8672","0.8753","0.8765","0.8672","0.8621"
"89","0.8684","0.8732","0.8818","0.8481","0.878"
"90","0.8689","0.8703","0.8573","0.8836","0.855"
"91","0.8692","0.8745","0.8757","0.8771","0.8878"
"92","0.8687","0.8758","0.8802","0.8802","0.875"
"93","0.8673","0.877","0.8808","0.8594","0.8631"
"94","0.8681","0.8863","0.8829","0.8795","0.8772"
"95","0.8687","0.8732","0.8785","0.86","0.8829"
"96","0.8685","0.8711","0.8712","0.8743","0.8852"
"97","0.8676","0.8682","0.8901","0.8602","0.8865"
"98","0.8685","0.8551","0.879","0.872","0.8632"
"99","0.8706","0.8831","0.8832","0.8626","0.8805"
"100","0.8684","0.8882","0.8781","0.8834","0.858"
"101","0.8695","0.8759","0.8714","0.867","0.8783"
"102","0.8679","0.8863","0.8869","0.8689","0.8769"
"103","0.8702","0.8726","0.8725","0.8796","0.8738"
"104","0.8696","0.8637","0.8757","0.872","0.8726"
"105","0.869","0.8773","0.8784","0.8853","0.8708"
"106","0.87","0.8694","0.8883","0.877","0.8734"
"107","0.8697","0.8696","0.88","0.8586","0.8814"
"108","0.8698","0.8551","0.8776","0.8777","0.8845"
"109","0.8692","0.8775","0.8895","0.8698","0.8789"
"110","0.8707","0.8769","0.88","0.8694","0.8389"
"111","0.8698","0.8862","0.8887","0.8791","0.8846"
"112","0.8707","0.8733","0.8818","0.8795","0.8828"
"113","0.8707","0.8664","0.8897","0.8752","0.8336"
"114","0.8717","0.881","0.8875","0.8618","0.8835"
"115","0.8729","0.8791","0.8812","0.878","0.8693"
"116","0.8715","0.8727","0.8818","0.8701","0.8745"
"117","0.8727","0.8779","0.881","0.8784","0.8909"
"118","0.8725","0.878","0.8895","0.8762","0.8832"
"119","0.8728","0.8788","0.8895","0.8659","0.8766"
"120","0.873","0.8705","0.8826","0.8745","0.8803"
"121","0.8738","0.9061","0.9176","0.9084","0.9085"
"122","0.8733","0.9109","0.9166","0.9079","0.9132"
"123","0.8745","0.9114","0.9187","0.9144","0.9152"
"124","0.875","0.9127","0.9168","0.9173","0.9147"
"125","0.8742","0.9136","0.919","0.9146","0.915"
"126","0.8744","0.9138","0.9206","0.9153","0.9183"
"127","0.8751","0.9137","0.9176","0.9145","0.9098"
"128","0.8751","0.9163","0.92","0.9087","0.9182"
"129","0.8747","0.9156","0.9228","0.9141","0.9172"
"130","0.8744","0.9173","0.9202","0.9144","0.9142"
"131","0.8745","0.9168","0.9236","0.9165","0.9186"
"132","0.8742","0.9165","0.921","0.9181","0.9136"
"133","0.8735","0.9177","0.9185","0.9134","0.9145"
"134","0.8739","0.9162","0.9211","0.9098","0.9177"
"135","0.8742","0.9158","0.9223","0.9179","0.9161"
"136","0.8751","0.9169","0.9196","0.9155","0.919"
"137","0.8751","0.9151","0.9189","0.9142","0.9173"
"138","0.8736","0.9174","0.9194","0.9161","0.9141"
"139","0.8747","0.9165","0.9224","0.9165","0.9214"
"140","0.8736","0.9167","0.918","0.9179","0.917"
"141","0.8747","0.9187","0.9245","0.9182","0.9207"
"142","0.8738","0.917","0.9232","0.9114","0.92"
"143","0.8734","0.9164","0.9159","0.9166","0.9205"
"144","0.8748","0.9161","0.9202","0.9143","0.9174"
"145","0.8744","0.9178","0.9198","0.9117","0.9168"
"146","0.8747","0.9155","0.9197","0.9111","0.9219"
"147","0.8741","0.9155","0.9193","0.9156","0.9163"
"148","0.8741","0.9147","0.9194","0.9196","0.9196"
"149","0.8742","0.9181","0.9185","0.9138","0.9161"
"150","0.8744","0.916","0.9213","0.9152","0.9156"
"151","0.8749","0.9148","0.921","0.9182","0.9162"
"152","0.8763","0.9182","0.9167","0.9124","0.9263"
"153","0.8747","0.9192","0.9195","0.912","0.9158"
"154","0.8749","0.9176","0.921","0.9128","0.9188"
"155","0.8754","0.916","0.92","0.9168","0.9136"
"156","0.8752","0.9147","0.9191","0.9121","0.9161"
"157","0.8751","0.9167","0.9143","0.9136","0.9196"
"158","0.8753","0.9152","0.918","0.9206","0.9199"
"159","0.8754","0.9151","0.9174","0.913","0.9181"
"160","0.8747","0.9143","0.9203","0.9114","0.919"
"161","0.8742","0.9189","0.9272","0.9216","0.9297"
"162","0.8753","0.9184","0.9282","0.9216","0.9299"
"163","0.8746","0.919","0.9273","0.9238","0.9313"
"164","0.8746","0.92","0.9264","0.9217","0.9302"
"165","0.8752","0.9208","0.9293","0.9252","0.9303"
"166","0.8754","0.9194","0.9303","0.9268","0.932"
