"Epoch","base","base+","cutout","mixup","cutmix"
"112","0.8375","0.9076","0.9245","0.9224","0.9342"
"113","0.8446","0.9087","0.9283","0.9209","0.9319"
"114","0.8513","0.911","0.9177","0.9095","0.9152"
"115","0.8509","0.9083","0.922","0.9195","0.9239"
"116","0.8546","0.9117","0.9264","0.9181","0.9097"
"117","0.8498","0.9081","0.9193","0.9238","0.9269"
"118","0.8415","0.9127","0.9181","0.9255","0.9267"
"119","0.8396","0.9099","0.9236","0.9198","0.9214"
"120","0.8388","0.9118","0.9224","0.9257","0.9151"
"121","0.8726","0.9407","0.9496","0.9442","0.9547"
"122","0.8758","0.9424","0.9502","0.9497","0.958"
"123","0.8768","0.944","0.9503","0.9495","0.9556"
"124","0.8767","0.9447","0.9503","0.949","0.9557"
"125","0.8801","0.9448","0.9503","0.9516","0.9558"
"126","0.8787","0.9461","0.9534","0.9504","0.954"
"127","0.879","0.9468","0.9517","0.9514","0.9526"
"128","0.8794","0.9453","0.9513","0.9483","0.9567"
"129","0.8813","0.9464","0.9527","0.9515","0.9592"
"130","0.8809","0.9479","0.954","0.9503","0.9559"
"131","0.8822","0.9479","0.9492","0.9537","0.957"
"132","0.8812","0.9481","0.9522","0.952","0.9552"
"133","0.8825","0.9464","0.9525","0.9492","0.9537"
"134","0.8827","0.9481","0.9533","0.9503","0.9565"
"135","0.8833","0.949","0.9506","0.951","0.9575"
"136","0.8838","0.9487","0.9527","0.9515","0.9568"
"137","0.8845","0.9493","0.9502","0.9481","0.9556"
"138","0.8845","0.9502","0.9509","0.9518","0.9569"
"139","0.8849","0.9493","0.9503","0.9525","0.9565"
"140","0.8843","0.9494","0.9553","0.952","0.9526"
"141","0.8849","0.9491","0.9516","0.9517","0.954"
"142","0.885","0.9497","0.9538","0.9556","0.9544"
"143","0.8846","0.9501","0.9535","0.9525","0.9568"
"144","0.8834","0.9475","0.953","0.9477","0.9551"
"145","0.8857","0.9499","0.9484","0.9513","0.9593"
"146","0.8862","0.9485","0.9514","0.9485","0.954"
"147","0.8857","0.95","0.95","0.9522","0.9536"
"148","0.8865","0.9486","0.9516","0.9521","0.9535"
"149","0.8861","0.9489","0.9526","0.9499","0.9569"
"150","0.8863","0.9467","0.9523","0.9501","0.9526"
"151","0.8875","0.9489","0.9484","0.9515","0.9561"
"152","0.887","0.9486","0.949","0.9519","0.955"
"153","0.8875","0.949","0.948","0.9514","0.9548"
"154","0.8867","0.9479","0.9508","0.9507","0.9547"
"155","0.887","0.9483","0.9438","0.95","0.9539"
"156","0.8881","0.948","0.9506","0.9507","0.9564"
"157","0.8884","0.9485","0.9506","0.9488","0.9588"
"158","0.8873","0.9466","0.9524","0.9461","0.9523"
"159","0.8889","0.9494","0.9498","0.9486","0.9557"
"160","0.889","0.949","0.9493","0.951","0.9527"
"161","0.8873","0.9499","0.955","0.956","0.9587"
"162","0.888","0.9496","0.9572","0.9565","0.9591"
"163","0.8884","0.9506","0.9573","0.9568","0.9594"
"164","0.889","0.9503","0.9561","0.9582","0.959"
"165","0.8887","0.9502","0.9575","0.9583","0.9609"
"166","0.8888","0.9495","0.9568","0.9566","0.9618"
"167","0.8886","0.9495","0.9564","0.9585","0.9599"
"168","0.8884","0.9502","0.9569","0.9565","0.96"
"169","0.8889","0.9498","0.9586","0.9562","0.9607"
"170","0.8882","0.9499","0.9565","0.9589","0.9618"
"171","0.8883","0.9496","0.9568","0.9588","0.9602"
"172","0.8886","0.9499","0.9575","0.958","0.9625"
"173","0.8889","0.9487","0.9566","0.9583","0.9619"
"174","0.888","0.9503","0.9565","0.9569","0.9614"
"175","0.8893","0.9498","0.957","0.9588","0.9626"
"176","0.8893","0.9503","0.9579","0.9558","0.9612"
"177","0.8893","0.9506","0.958","0.9587","0.9605"
"178","0.8886","0.9499","0.9575","0.9584","0.9606"
"179","0.89","0.9501","0.9572","0.9578","0.9604"
"180","0.8892","0.9507","0.9572","0.9594","0.9608"
"181","0.8894","0.9504","0.9565","0.9572","0.9616"
"182","0.8891","0.9506","0.955","0.9589","0.9604"
"183","0.8889","0.951","0.9573","0.9579","0.9598"
"184","0.8885","0.9504","0.9563","0.9572","0.9602"
"185","0.8897","0.9501","0.9569","0.9611","0.9605"
"186","0.8895","0.9497","0.9589","0.9601","0.9598"
"187","0.8882","0.9495","0.9568","0.9577","0.96"
"188","0.8891","0.9498","0.9558","0.9604","0.9625"
"189","0.8886","0.9506","0.9579","0.9592","0.9607"
"190","0.8892","0.9507","0.9571","0.9582","0.9608"
"191","0.8892","0.9498","0.9578","0.9593","0.9625"
"192","0.8886","0.9504","0.9588","0.9565","0.9616"
"193","0.8893","0.9506","0.9578","0.9585","0.9597"
"194","0.8901","0.9493","0.9565","0.9594","0.9603"
"195","0.8885","0.9498","0.9577","0.9584","0.9612"
"196","0.8891","0.9504","0.9576","0.9569","0.9615"
"197","0.8887","0.9498","0.9598","0.9588","0.9616"
"198","0.8887","0.9505","0.9577","0.9574","0.9625"
"199","0.8876","0.9513","0.9574","0.9575","0.9617"
"200","0.8893","0.9507","0.9569","0.9593","0.962"
