"Epoch","base","base+","cutout","mixup","cutmix"
"67","0.6036","0.6632","0.6491","0.6555","0.6288"
"68","0.6054","0.6512","0.6465","0.6444","0.6277"
"69","0.6035","0.6362","0.6091","0.6571","0.6475"
"70","0.605","0.6514","0.6409","0.6422","0.6107"
"71","0.6058","0.6412","0.6383","0.641","0.6393"
"72","0.6049","0.6471","0.6365","0.6517","0.6374"
"73","0.6054","0.6441","0.6446","0.644","0.6275"
"74","0.606","0.6458","0.6555","0.6446","0.6385"
"75","0.6066","0.6428","0.6418","0.6566","0.6403"
"76","0.6069","0.6336","0.6175","0.6361","0.6215"
"77","0.6073","0.6355","0.6294","0.6466","0.6344"
"78","0.6066","0.6337","0.6223","0.6243","0.6418"
"79","0.6068","0.6339","0.6328","0.6324","0.639"
"80","0.608","0.6364","0.6377","0.6367","0.6398"
"81","0.6053","0.6328","0.633","0.6374","0.6497"
"82","0.6076","0.6137","0.6308","0.6318","0.6418"
"83","0.6094","0.6414","0.6292","0.6513","0.629"
"84","0.6062","0.6249","0.6344","0.643","0.6212"
"85","0.6089","0.6285","0.6371","0.6287","0.6381"
"86","0.6085","0.611","0.6156","0.648","0.6561"
"87","0.6079","0.6329","0.6286","0.6523","0.653"
"88","0.6063","0.6362","0.6378","0.6292","0.6438"
"89","0.605","0.6269","0.6279","0.6306","0.6478"
"90","0.6028","0.631","0.6338","0.6452","0.6277"
"91","0.6022","0.6259","0.617","0.642","0.6363"
"92","0.468","0.6144","0.6025","0.6235","0.6345"
"93","0.4615","0.633","0.6259","0.6436","0.6541"
"94","0.5228","0.6235","0.6336","0.6484","0.6472"
"95","0.5251","0.6279","0.6216","0.6248","0.6353"
"96","0.5483","0.6137","0.6232","0.6417","0.6443"
"97","0.5302","0.6382","0.6136","0.626","0.6357"
"98","0.5547","0.614","0.6239","0.6467","0.6221"
"99","0.5507","0.6222","0.6209","0.6446","0.6262"
"100","0.5573","0.6223","0.6304","0.6418","0.6587"
"101","0.5598","0.6237","0.6285","0.6364","0.6377"
"102","0.5823","0.622","0.6234","0.6446","0.6497"
"103","0.6015","0.6299","0.6167","0.6416","0.6408"
"104","0.6056","0.6146","0.603","0.6418","0.624"
"105","0.6079","0.6233","0.6227","0.637","0.6538"
"106","0.6105","0.6048","0.6333","0.6505","0.6345"
"107","0.6103","0.6133","0.6154","0.6407","0.6284"
"108","0.6135","0.6151","0.6179","0.6433","0.6504"
"109","0.6133","0.6151","0.6165","0.6459","0.6569"
"110","0.6125","0.6151","0.6231","0.6413","0.648"
"111","0.6164","0.6137","0.6099","0.6411","0.6416"
"112","0.616","0.6207","0.6333","0.647","0.6498"
"113","0.6145","0.6197","0.634","0.6588","0.6342"
"114","0.6127","0.6226","0.6167","0.6455","0.6517"
"115","0.6152","0.6258","0.6108","0.6492","0.6391"
"116","0.6155","0.6278","0.6182","0.6412","0.6429"
"117","0.6158","0.6107","0.6227","0.635","0.6613"
"118","0.6161","0.6259","0.6189","0.6377","0.6512"
"119","0.6139","0.6291","0.6219","0.6394","0.6451"
"120","0.6143","0.6158","0.6237","0.6262","0.6389"
"121","0.6167","0.682","0.6838","0.7001","0.7127"
"122","0.6162","0.6839","0.6889","0.6991","0.7179"
"123","0.6172","0.6906","0.6874","0.703","0.7134"
"124","0.6152","0.6916","0.6885","0.7077","0.7158"
"125","0.6166","0.6905","0.6902","0.6977","0.7238"
"126","0.616","0.6954","0.6906","0.7024","0.7199"
"127","0.617","0.6919","0.6911","0.7018","0.7171"
"128","0.6157","0.6958","0.6943","0.7084","0.7212"
"129","0.6173","0.696","0.691","0.7068","0.7235"
"130","0.6161","0.6957","0.6936","0.7072","0.7234"
"131","0.6181","0.6961","0.6922","0.7062","0.721"
"132","0.6164","0.6984","0.6895","0.6971","0.7257"
"133","0.6171","0.6957","0.6895","0.7099","0.719"
"134","0.6157","0.6973","0.6907","0.7042","0.7098"
"135","0.6174","0.6978","0.6956","0.7103","0.7152"
"136","0.6162","0.6962","0.6914","0.7076","0.7212"
"137","0.6167","0.699","0.6906","0.7142","0.7199"
"138","0.6162","0.6991","0.6907","0.7064","0.7213"
"139","0.6137","0.6993","0.6949","0.7076","0.7237"
"140","0.6184","0.6996","0.6921","0.7103","0.7303"
"141","0.6143","0.7018","0.6946","0.7046","0.719"
"142","0.6151","0.7017","0.694","0.6992","0.7163"
"143","0.6167","0.7042","0.6915","0.7122","0.7144"
"144","0.6154","0.7027","0.6938","0.7101","0.7206"
"145","0.6157","0.7005","0.6925","0.7081","0.7141"
"146","0.616","0.7001","0.6883","0.6951","0.7191"
"147","0.6156","0.702","0.6919","0.7032","0.7176"
"148","0.6162","0.7024","0.6907","0.7014","0.7167"
"149","0.6152","0.7019","0.6873","0.7117","0.7234"
"150","0.6159","0.7023","0.6875","0.7094","0.7171"
"151","0.615","0.7016","0.6886","0.7099","0.7148"
"152","0.616","0.7046","0.6904","0.7154","0.7133"
"153","0.6159","0.7007","0.6939","0.7073","0.7228"
"154","0.6148","0.7054","0.6865","0.7077","0.7229"
"155","0.6164","0.703","0.6929","0.7057","0.7177"
"156","0.6142","0.7039","0.6933","0.7046","0.7183"
"157","0.6156","0.7039","0.6918","0.7097","0.7109"
"158","0.6176","0.7061","0.6861","0.7019","0.7199"
"159","0.6167","0.705","0.6896","0.7097","0.7171"
"160","0.6147","0.7051","0.6921","0.7076","0.7189"
"161","0.6163","0.707","0.6945","0.7161","0.7341"
"162","0.6152","0.7067","0.6976","0.7271","0.7383"
"163","0.6156","0.706","0.6995","0.7193","0.741"
"164","0.6167","0.7077","0.6975","0.721","0.7392"
"165","0.6186","0.7078","0.6978","0.7219","0.7414"
"166","0.617","0.7069","0.698","0.7211","0.7389"
"167","0.6144","0.7053","0.6995","0.7177","0.7414"
"168","0.6165","0.7064","0.6973","0.7191","0.7395"
"169","0.6156","0.7059","0.6993","0.723","0.7389"
"170","0.6177","0.7061","0.6984","0.7187","0.7382"
"171","0.6162","0.709","0.6979","0.7282","0.7372"
"172","0.6167","0.706","0.699","0.7205","0.7406"
"173","0.615","0.7063","0.6978","0.7201","0.7381"
"174","0.6162","0.7083","0.6992","0.7166","0.7406"
"175","0.6159","0.7075","0.6987","0.7169","0.7395"
"176","0.6175","0.7079","0.698","0.7178","0.741"
"177","0.6167","0.7073","0.6992","0.7225","0.7376"
"178","0.6163","0.7083","0.6991","0.7191","0.7385"
"179","0.6155","0.708","0.7011","0.7244","0.7386"
"180","0.6159","0.7094","0.6988","0.722","0.74"
"181","0.6181","0.708","0.7","0.7275","0.7401"
"182","0.6177","0.7083","0.6998","0.7266","0.7368"
"183","0.6168","0.7098","0.6998","0.7238","0.7412"
"184","0.6158","0.7068","0.7019","0.7211","0.7402"
"185","0.616","0.7089","0.7014","0.7287","0.7392"
"186","0.6151","0.709","0.702","0.722","0.7411"
"187","0.6153","0.7081","0.702","0.722","0.7416"
"188","0.6167","0.7091","0.7023","0.7244","0.7398"
"189","0.6148","0.708","0.6989","0.7201","0.738"
"190","0.6174","0.7095","0.6978","0.7178","0.7389"
"191","0.6148","0.7086","0.6987","0.7221","0.7404"
"192","0.6145","0.7085","0.698","0.7209","0.7384"
"193","0.6161","0.7087","0.6987","0.7238","0.7412"
"194","0.6157","0.707","0.7037","0.731","0.7417"
"195","0.6163","0.7104","0.6995","0.7292","0.7419"
"196","0.6158","0.7086","0.7015","0.7244","0.7403"
"197","0.617","0.7089","0.7019","0.7226","0.7401"
"198","0.6151","0.7076","0.6987","0.7239","0.7385"
"199","0.6169","0.7099","0.7024","0.7268","0.7389"
"200","0.6177","0.7109","0.7002","0.7225","0.7378"
