"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"112","0.2871","0.275","0.2893","0.2764","0.2996"
"113","0.3005","0.3082","0.2794","0.2989","0.3026"
"114","0.2972","0.2779","0.2992","0.297","0.3053"
"115","0.2993","0.2916","0.2809","0.2948","0.2886"
"116","0.3084","0.3019","0.2994","0.3062","0.3007"
"117","0.2988","0.3095","0.2994","0.292","0.2914"
"118","0.2826","0.2837","0.2979","0.3049","0.3043"
"119","0.2998","0.3077","0.2766","0.236","0.2944"
"120","0.3034","0.2969","0.3033","0.3111","0.3036"
"121","0.3427","0.3383","0.3392","0.3426","0.3438"
"122","0.3465","0.3413","0.3444","0.3446","0.3459"
"123","0.3554","0.3486","0.3393","0.347","0.3499"
"124","0.3558","0.3532","0.3473","0.3444","0.3521"
"125","0.3575","0.3474","0.3384","0.3427","0.3489"
"126","0.3574","0.3435","0.346","0.3486","0.3533"
"127","0.3477","0.3494","0.3422","0.3461","0.3564"
"128","0.358","0.3532","0.351","0.3487","0.3522"
"129","0.357","0.3465","0.3468","0.3411","0.3544"
"130","0.3551","0.347","0.3461","0.3408","0.3545"
"131","0.3613","0.3491","0.356","0.3467","0.3573"
"132","0.3571","0.3452","0.3497","0.3508","0.3547"
"133","0.3591","0.3526","0.3465","0.3486","0.3513"
"134","0.358","0.3524","0.343","0.3487","0.3552"
"135","0.36","0.3505","0.3504","0.3483","0.3565"
"136","0.3605","0.3515","0.3505","0.3464","0.3543"
"137","0.3518","0.3505","0.3542","0.3504","0.3582"
"138","0.3584","0.3501","0.3555","0.3468","0.3565"
"139","0.3571","0.3544","0.3527","0.3542","0.3646"
"140","0.3572","0.3505","0.3485","0.3502","0.3577"
"141","0.3617","0.3522","0.3488","0.3521","0.3567"
"142","0.3582","0.3555","0.3577","0.3397","0.3581"
"143","0.355","0.3534","0.3535","0.3507","0.3632"
"144","0.3604","0.3539","0.3528","0.3468","0.3655"
"145","0.3525","0.3568","0.3548","0.3476","0.3619"
"146","0.3594","0.3532","0.3479","0.3491","0.3611"
"147","0.3616","0.3573","0.3587","0.3553","0.3608"
"148","0.3543","0.3526","0.3504","0.349","0.3637"
"149","0.356","0.356","0.3561","0.3522","0.3603"
"150","0.3539","0.3596","0.3591","0.3537","0.3579"
"151","0.3617","0.3543","0.3535","0.3555","0.3643"
"152","0.3575","0.3543","0.3599","0.35","0.3587"
"153","0.3687","0.356","0.3495","0.3535","0.3632"
"154","0.3588","0.3549","0.3524","0.3485","0.3598"
"155","0.3589","0.3477","0.3566","0.3638","0.3654"
"156","0.3654","0.3551","0.3498","0.356","0.3611"
"157","0.3554","0.3556","0.3535","0.3535","0.3656"
"158","0.3594","0.3599","0.3489","0.3459","0.3627"
"159","0.354","0.3464","0.3554","0.3536","0.3628"
"160","0.3596","0.3541","0.353","0.3562","0.361"
"161","0.3737","0.3693","0.3628","0.3637","0.3754"
"162","0.3735","0.3696","0.3681","0.3661","0.3788"
"163","0.3772","0.3706","0.3687","0.3641","0.3769"
"164","0.3776","0.3702","0.3673","0.3663","0.3796"
"165","0.3688","0.3707","0.3684","0.3682","0.3792"
"166","0.3789","0.3723","0.3626","0.3687","0.3689"
"167","0.3768","0.3722","0.3675","0.3641","0.3787"
"168","0.3742","0.3697","0.3684","0.3693","0.3793"
"169","0.3779","0.3741","0.367","0.367","0.3783"
"170","0.3774","0.3713","0.3702","0.3656","0.3745"
"171","0.3792","0.3721","0.3674","0.3674","0.3791"
"172","0.3755","0.3755","0.3651","0.3619","0.3775"
"173","0.3748","0.3717","0.3704","0.3659","0.3803"
"174","0.378","0.3708","0.3733","0.3662","0.3814"
"175","0.3754","0.3758","0.3694","0.3645","0.3797"
"176","0.3789","0.3738","0.3656","0.3658","0.3825"
"177","0.3767","0.3713","0.3706","0.3661","0.3768"
"178","0.3767","0.3726","0.3691","0.3688","0.3807"
"179","0.3764","0.3715","0.366","0.3695","0.3807"
"180","0.376","0.3703","0.3654","0.3653","0.3735"
"181","0.3747","0.3707","0.3672","0.3663","0.3794"
"182","0.3735","0.369","0.369","0.3663","0.3775"
"183","0.3727","0.3737","0.3688","0.3679","0.3788"
"184","0.3768","0.3755","0.3711","0.3702","0.3802"
"185","0.3737","0.3749","0.3685","0.3693","0.3776"
"186","0.3762","0.3715","0.3678","0.3653","0.3822"
"187","0.373","0.3752","0.3697","0.3641","0.3839"
"188","0.3758","0.3758","0.3709","0.3681","0.3815"
"189","0.3789","0.3749","0.3712","0.3704","0.3793"
"190","0.3748","0.3735","0.3723","0.3702","0.3778"
"191","0.383","0.3765","0.3693","0.3619","0.3811"
"192","0.3762","0.377","0.3658","0.3714","0.3798"
"193","0.3733","0.3702","0.3707","0.3707","0.3843"
"194","0.3759","0.3748","0.3745","0.3718","0.3826"
"195","0.3819","0.3793","0.3734","0.3648","0.3796"
"196","0.3784","0.3763","0.368","0.3655","0.3785"
"197","0.3735","0.3679","0.3652","0.3667","0.3811"
"198","0.3795","0.3778","0.3692","0.3654","0.3798"
"199","0.3774","0.3733","0.3696","0.3662","0.3778"
"200","0.3764","0.3767","0.3651","0.368","0.3786"
