"Epoch","base","base+","cutout","mixup","cutmix"
"1","0.4998","0.3842","0.3847","0.4471","0.4291"
"2","0.5731","0.4783","0.4578","0.5134","0.5054"
"3","0.6478","0.5493","0.5125","0.6077","0.5959"
"4","0.7275","0.5908","0.5573","0.6504","0.6611"
"5","0.7575","0.6578","0.632","0.6809","0.6925"
"6","0.7659","0.7141","0.6549","0.6993","0.7125"
"7","0.773","0.7416","0.6557","0.7508","0.713"
"8","0.7522","0.7527","0.7151","0.7363","0.7462"
"9","0.7679","0.7797","0.7099","0.7775","0.8041"
"10","0.7736","0.7794","0.7142","0.6947","0.7718"
"11","0.8041","0.7429","0.7643","0.7788","0.7751"
"12","0.8086","0.8034","0.6875","0.7094","0.8101"
"13","0.7724","0.7884","0.7854","0.7834","0.7497"
"14","0.8033","0.8329","0.7981","0.7921","0.8229"
"15","0.7975","0.7912","0.7459","0.8268","0.7813"
"16","0.7998","0.7953","0.7632","0.7916","0.8017"
"17","0.7931","0.8104","0.7959","0.8368","0.827"
"18","0.7935","0.8189","0.7845","0.805","0.7951"
"19","0.813","0.8144","0.777","0.7979","0.8204"
"20","0.7841","0.8321","0.8116","0.817","0.7946"
"21","0.7921","0.7529","0.8167","0.8044","0.8418"
"22","0.7975","0.8358","0.8071","0.842","0.7993"
"23","0.7966","0.822","0.8222","0.798","0.8147"
"24","0.8087","0.833","0.8194","0.814","0.8247"
"25","0.7909","0.8176","0.8153","0.8136","0.813"
"26","0.8021","0.8179","0.8341","0.8028","0.8308"
"27","0.7846","0.8371","0.8165","0.8341","0.8356"
"28","0.7646","0.8044","0.8246","0.8064","0.8577"
"29","0.7825","0.8329","0.7986","0.8165","0.8129"
"30","0.807","0.8017","0.8262","0.843","0.8242"
"31","0.7759","0.8236","0.799","0.8445","0.8238"
"32","0.8047","0.8459","0.82","0.8209","0.8368"
"33","0.8071","0.8397","0.8073","0.8117","0.8569"
"34","0.813","0.8333","0.8211","0.8541","0.8571"
"35","0.8076","0.8331","0.8473","0.8078","0.8494"
"36","0.8069","0.8069","0.8245","0.8224","0.8497"
"37","0.8021","0.8189","0.7669","0.8575","0.8385"
"38","0.8062","0.7942","0.7957","0.8359","0.8537"
"39","0.7995","0.8218","0.828","0.829","0.826"
"40","0.7743","0.8242","0.8504","0.8589","0.8367"
"41","0.8084","0.8506","0.8272","0.863","0.8699"
"42","0.8093","0.8359","0.8369","0.8225","0.866"
"43","0.8218","0.8308","0.8138","0.8211","0.833"
"44","0.7454","0.8611","0.846","0.8259","0.8661"
"45","0.7982","0.8541","0.8365","0.82","0.8359"
"46","0.7799","0.8325","0.8259","0.8137","0.8334"
"47","0.7921","0.8457","0.8578","0.8073","0.7987"
"48","0.8011","0.8518","0.8552","0.8203","0.7502"
"49","0.8156","0.7987","0.8372","0.8543","0.8197"
"50","0.8234","0.8197","0.8466","0.7952","0.8633"
"51","0.7624","0.8323","0.8476","0.862","0.853"
"52","0.8209","0.814","0.7843","0.851","0.871"
"53","0.8107","0.8616","0.8438","0.8481","0.8578"
"54","0.8091","0.8538","0.8529","0.8496","0.8479"
"55","0.8131","0.8267","0.8281","0.8492","0.839"
"56","0.8119","0.855","0.8462","0.8444","0.8514"
"57","0.7712","0.8486","0.8011","0.8188","0.8716"
"58","0.7899","0.8032","0.845","0.8472","0.842"
"59","0.8127","0.8591","0.8439","0.8686","0.8547"
"60","0.7556","0.8478","0.852","0.8562","0.8126"
"61","0.8777","0.9207","0.9182","0.9111","0.9286"
"62","0.8805","0.9202","0.9207","0.9222","0.9298"
"63","0.8814","0.9285","0.9267","0.9153","0.9294"
"64","0.8828","0.921","0.9199","0.9191","0.9322"
"65","0.8832","0.9208","0.9184","0.9178","0.9283"
"66","0.8835","0.9219","0.9239","0.9238","0.9312"
"67","0.8832","0.9217","0.9185","0.9252","0.9204"
"68","0.8833","0.9211","0.9179","0.9185","0.9285"
"69","0.8835","0.9197","0.9213","0.914","0.9297"
"70","0.8833","0.9111","0.9244","0.926","0.9167"
"71","0.8837","0.9086","0.9192","0.9289","0.9286"
"72","0.8845","0.9076","0.9159","0.9265","0.9234"
"73","0.8843","0.906","0.9188","0.9193","0.9224"
"74","0.8846","0.9144","0.9226","0.9209","0.9185"
"75","0.8854","0.9115","0.9166","0.9182","0.9251"
"76","0.8833","0.9028","0.914","0.9183","0.9154"
"77","0.8858","0.9048","0.9137","0.9133","0.9188"
"78","0.8865","0.9066","0.9086","0.9264","0.9178"
"79","0.8853","0.9146","0.9165","0.9162","0.9117"
"80","0.8871","0.9145","0.9152","0.9238","0.9239"
"81","0.8872","0.907","0.9106","0.9183","0.9155"
"82","0.8879","0.9116","0.9158","0.9291","0.9237"
"83","0.8882","0.9016","0.9213","0.9144","0.9158"
"84","0.8887","0.894","0.9155","0.9115","0.9134"
"85","0.8891","0.9104","0.9218","0.9186","0.9209"
"86","0.8887","0.9109","0.9096","0.9073","0.9228"
"87","0.8884","0.9123","0.9173","0.9205","0.9026"
"88","0.8884","0.912","0.9121","0.9218","0.91"
"89","0.8887","0.9102","0.9059","0.9259","0.9176"
"90","0.8889","0.9114","0.9182","0.9263","0.9163"
"91","0.8884","0.8996","0.9179","0.9211","0.9175"
"92","0.8885","0.9081","0.9089","0.9256","0.9084"
"93","0.8884","0.9082","0.9254","0.9197","0.9221"
"94","0.8891","0.9124","0.9196","0.9085","0.8956"
"95","0.8894","0.9183","0.9182","0.9128","0.9239"
"96","0.8888","0.9037","0.9017","0.9233","0.9176"
"97","0.8906","0.907","0.9093","0.9206","0.923"
"98","0.8889","0.9072","0.9184","0.9286","0.9027"
"99","0.89","0.9121","0.9113","0.9193","0.9078"
"100","0.889","0.9088","0.9224","0.9135","0.9173"
"101","0.8897","0.9061","0.9059","0.9153","0.9183"
"102","0.5747","0.9131","0.9138","0.908","0.9168"
"103","0.8078","0.8927","0.9109","0.9241","0.9037"
"104","0.7989","0.8922","0.9167","0.9153","0.9191"
"105","0.8277","0.9136","0.912","0.9249","0.9211"
"106","0.8245","0.913","0.9179","0.9195","0.9182"
"107","0.8484","0.9051","0.9261","0.9232","0.9131"
"108","0.8446","0.9182","0.9227","0.9216","0.9088"
"109","0.8576","0.913","0.927","0.9219","0.9122"
"110","0.8326","0.912","0.9266","0.9291","0.907"
"111","0.856","0.9049","0.9141","0.928","0.9208"
"112","0.8375","0.9076","0.9245","0.9224","0.9228"
"113","0.8446","0.9087","0.9283","0.9209","0.9168"
"114","0.8513","0.911","0.9177","0.9095","0.9224"
"115","0.8509","0.9083","0.922","0.9195","0.9098"
"116","0.8546","0.9117","0.9264","0.9181","0.9262"
"117","0.8498","0.9081","0.9193","0.9238","0.9162"
"118","0.8415","0.9127","0.9181","0.9255","0.9064"
"119","0.8396","0.9099","0.9236","0.9198","0.9174"
"120","0.8388","0.9118","0.9224","0.9257","0.919"
"121","0.8726","0.9407","0.9496","0.9442","0.9441"
"122","0.8758","0.9424","0.9502","0.9497","0.9469"
"123","0.8768","0.944","0.9503","0.9495","0.9481"
"124","0.8767","0.9447","0.9503","0.949","0.9469"
"125","0.8801","0.9448","0.9503","0.9516","0.9484"
"126","0.8787","0.9461","0.9534","0.9504","0.9506"
"127","0.879","0.9468","0.9517","0.9514","0.9479"
"128","0.8794","0.9453","0.9513","0.9483","0.9505"
"129","0.8813","0.9464","0.9527","0.9515","0.9501"
"130","0.8809","0.9479","0.954","0.9503","0.9482"
"131","0.8822","0.9479","0.9492","0.9537","0.9509"
"132","0.8812","0.9481","0.9522","0.952","0.9496"
"133","0.8825","0.9464","0.9525","0.9492","0.948"
"134","0.8827","0.9481","0.9533","0.9503","0.9499"
"135","0.8833","0.949","0.9506","0.951","0.9502"
"136","0.8838","0.9487","0.9527","0.9515","0.9488"
"137","0.8845","0.9493","0.9502","0.9481","0.9508"
"138","0.8845","0.9502","0.9509","0.9518","0.9511"
"139","0.8849","0.9493","0.9503","0.9525","0.9508"
"140","0.8843","0.9494","0.9553","0.952","0.9529"
"141","0.8849","0.9491","0.9516","0.9517","0.9515"
"142","0.885","0.9497","0.9538","0.9556","0.9506"
"143","0.8846","0.9501","0.9535","0.9525","0.9524"
"144","0.8834","0.9475","0.953","0.9477","0.95"
"145","0.8857","0.9499","0.9484","0.9513","0.9515"
"146","0.8862","0.9485","0.9514","0.9485","0.952"
"147","0.8857","0.95","0.95","0.9522","0.9506"
"148","0.8865","0.9486","0.9516","0.9521","0.9538"
"149","0.8861","0.9489","0.9526","0.9499","0.9513"
"150","0.8863","0.9467","0.9523","0.9501","0.9515"
"151","0.8875","0.9489","0.9484","0.9515","0.9487"
"152","0.887","0.9486","0.949","0.9519","0.9507"
"153","0.8875","0.949","0.948","0.9514","0.9527"
"154","0.8867","0.9479","0.9508","0.9507","0.9497"
"155","0.887","0.9483","0.9438","0.95","0.9507"
"156","0.8881","0.948","0.9506","0.9507","0.9506"
"157","0.8884","0.9485","0.9506","0.9488","0.9503"
"158","0.8873","0.9466","0.9524","0.9461","0.9526"
"159","0.8889","0.9494","0.9498","0.9486","0.9484"
"160","0.889","0.949","0.9493","0.951","0.9536"
"161","0.8873","0.9499","0.955","0.956","0.9538"
"162","0.888","0.9496","0.9572","0.9565","0.9538"
"163","0.8884","0.9506","0.9573","0.9568","0.9549"
"164","0.889","0.9503","0.9561","0.9582","0.9552"
"165","0.8887","0.9502","0.9575","0.9583","0.9545"
"166","0.8888","0.9495","0.9568","0.9566","0.9547"
"167","0.8886","0.9495","0.9564","0.9585","0.9553"
"168","0.8884","0.9502","0.9569","0.9565","0.9533"
"169","0.8889","0.9498","0.9586","0.9562","0.9543"
"170","0.8882","0.9499","0.9565","0.9589","0.9544"
"171","0.8883","0.9496","0.9568","0.9588","0.9532"
"172","0.8886","0.9499","0.9575","0.958","0.9541"
"173","0.8889","0.9487","0.9566","0.9583","0.9544"
"174","0.888","0.9503","0.9565","0.9569","0.9545"
"175","0.8893","0.9498","0.957","0.9588","0.9551"
"176","0.8893","0.9503","0.9579","0.9558","0.9545"
"177","0.8893","0.9506","0.958","0.9587","0.9554"
"178","0.8886","0.9499","0.9575","0.9584","0.9551"
"179","0.89","0.9501","0.9572","0.9578","0.9566"
"180","0.8892","0.9507","0.9572","0.9594","0.9549"
"181","0.8894","0.9504","0.9565","0.9572","0.9547"
"182","0.8891","0.9506","0.955","0.9589","0.9544"
"183","0.8889","0.951","0.9573","0.9579","0.9554"
"184","0.8885","0.9504","0.9563","0.9572","0.9557"
"185","0.8897","0.9501","0.9569","0.9611","0.9553"
"186","0.8895","0.9497","0.9589","0.9601","0.9564"
"187","0.8882","0.9495","0.9568","0.9577","0.9563"
"188","0.8891","0.9498","0.9558","0.9604","0.9559"
"189","0.8886","0.9506","0.9579","0.9592","0.9557"
"190","0.8892","0.9507","0.9571","0.9582","0.9559"
"191","0.8892","0.9498","0.9578","0.9593","0.9551"
"192","0.8886","0.9504","0.9588","0.9565","0.9559"
"193","0.8893","0.9506","0.9578","0.9585","0.9557"
"194","0.8901","0.9493","0.9565","0.9594","0.9564"
"195","0.8885","0.9498","0.9577","0.9584","0.9563"
"196","0.8891","0.9504","0.9576","0.9569","0.9567"
"197","0.8887","0.9498","0.9598","0.9588","0.9552"
"198","0.8887","0.9505","0.9577","0.9574","0.9552"
"199","0.8876","0.9513","0.9574","0.9575","0.9554"
"200","0.8893","0.9507","0.9569","0.9593","0.9553"
