"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"111","0.9141","0.9234","0.9141","0.9247","0.9146"
"112","0.9245","0.9164","0.918","0.915","0.9155"
"113","0.9283","0.9121","0.9186","0.9213","0.9231"
"114","0.9177","0.9225","0.9205","0.9078","0.913"
"115","0.922","0.9262","0.9255","0.9215","0.9276"
"116","0.9264","0.9254","0.9085","0.9233","0.9334"
"117","0.9193","0.9227","0.9184","0.9158","0.9282"
"118","0.9181","0.9239","0.9187","0.9275","0.9244"
"119","0.9236","0.9133","0.9207","0.9199","0.9189"
"120","0.9224","0.9059","0.9213","0.9221","0.9312"
"121","0.9496","0.9472","0.9457","0.949","0.9517"
"122","0.9502","0.9526","0.9483","0.9546","0.9538"
"123","0.9503","0.9507","0.9488","0.9516","0.953"
"124","0.9503","0.9526","0.949","0.9531","0.9557"
"125","0.9503","0.9531","0.9479","0.9552","0.9547"
"126","0.9534","0.9534","0.9523","0.9534","0.9569"
"127","0.9517","0.9534","0.9478","0.9533","0.9516"
"128","0.9513","0.953","0.9497","0.9543","0.9547"
"129","0.9527","0.9538","0.9523","0.9548","0.9549"
"130","0.954","0.9524","0.9528","0.9515","0.9555"
"131","0.9492","0.9524","0.9515","0.952","0.9561"
"132","0.9522","0.9528","0.9503","0.9516","0.9565"
"133","0.9525","0.9533","0.9507","0.9532","0.9557"
"134","0.9533","0.955","0.9488","0.9526","0.954"
"135","0.9506","0.9533","0.9527","0.9511","0.957"
"136","0.9527","0.9528","0.9521","0.9546","0.9573"
"137","0.9502","0.953","0.949","0.9531","0.9571"
"138","0.9509","0.953","0.95","0.9497","0.9565"
"139","0.9503","0.9535","0.9513","0.9549","0.9578"
"140","0.9553","0.9535","0.951","0.952","0.9567"
"141","0.9516","0.9516","0.9497","0.9534","0.9558"
"142","0.9538","0.9525","0.9499","0.9559","0.9576"
"143","0.9535","0.9527","0.951","0.9526","0.9553"
"144","0.953","0.9534","0.9528","0.9523","0.9556"
"145","0.9484","0.9517","0.9485","0.9542","0.9562"
"146","0.9514","0.9535","0.95","0.9498","0.9543"
"147","0.95","0.9539","0.9501","0.952","0.9546"
"148","0.9516","0.9521","0.9499","0.9532","0.9562"
"149","0.9526","0.9517","0.9486","0.9514","0.9545"
"150","0.9523","0.9516","0.9492","0.9515","0.955"
"151","0.9484","0.9532","0.948","0.9516","0.956"
"152","0.949","0.9515","0.9501","0.9508","0.9561"
"153","0.948","0.9521","0.9509","0.9524","0.9536"
"154","0.9508","0.9478","0.9514","0.9525","0.9535"
"155","0.9438","0.9504","0.9498","0.9513","0.9524"
"156","0.9506","0.9519","0.9519","0.9517","0.9542"
"157","0.9506","0.9497","0.9502","0.9526","0.9539"
"158","0.9524","0.9489","0.9494","0.9494","0.9546"
"159","0.9498","0.9489","0.9515","0.9511","0.9541"
"160","0.9493","0.9538","0.9505","0.9511","0.9517"
"161","0.955","0.9564","0.9538","0.9565","0.9588"
"162","0.9572","0.9566","0.9551","0.9559","0.9573"
"163","0.9573","0.9561","0.9549","0.957","0.9574"
"164","0.9561","0.9571","0.9563","0.956","0.9577"
"165","0.9575","0.9573","0.9563","0.9566","0.959"
"166","0.9568","0.957","0.956","0.9566","0.9595"
"167","0.9564","0.9572","0.9561","0.957","0.96"
"168","0.9569","0.9582","0.9557","0.9571","0.9595"
"169","0.9586","0.959","0.9565","0.9573","0.9587"
"170","0.9565","0.9588","0.957","0.9574","0.96"
"171","0.9568","0.9594","0.9577","0.9571","0.9591"
"172","0.9575","0.9573","0.9569","0.9571","0.9593"
"173","0.9566","0.9567","0.9573","0.9575","0.96"
"174","0.9565","0.9568","0.9579","0.959","0.9617"
"175","0.957","0.9565","0.9564","0.9577","0.9612"
"176","0.9579","0.9597","0.9572","0.9578","0.9591"
"177","0.958","0.9583","0.9575","0.9559","0.9606"
"178","0.9575","0.9577","0.959","0.9593","0.9612"
"179","0.9572","0.958","0.9579","0.9594","0.9612"
"180","0.9572","0.9592","0.9574","0.959","0.96"
"181","0.9565","0.9582","0.9572","0.9589","0.9611"
"182","0.955","0.9574","0.956","0.9579","0.9606"
"183","0.9573","0.9589","0.9575","0.9591","0.96"
"184","0.9563","0.9595","0.9564","0.9574","0.9612"
"185","0.9569","0.9586","0.9581","0.9573","0.9605"
"186","0.9589","0.9581","0.9579","0.9592","0.9603"
"187","0.9568","0.9598","0.9583","0.9574","0.9589"
"188","0.9558","0.9584","0.9572","0.9575","0.9597"
"189","0.9579","0.96","0.9586","0.9586","0.9591"
"190","0.9571","0.9587","0.9565","0.9575","0.9601"
"191","0.9578","0.9601","0.9584","0.9583","0.9597"
"192","0.9588","0.9569","0.9563","0.9589","0.9603"
"193","0.9578","0.9585","0.9574","0.9586","0.96"
"194","0.9565","0.9582","0.9586","0.9586","0.9614"
"195","0.9577","0.9591","0.9578","0.9601","0.96"
"196","0.9576","0.9584","0.9589","0.959","0.9597"
"197","0.9598","0.9592","0.958","0.9597","0.9603"
"198","0.9577","0.9586","0.9579","0.9596","0.961"
"199","0.9574","0.9586","0.9574","0.957","0.959"
"200","0.9569","0.9594","0.9587","0.9593","0.9608"
