"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.2927","0.2927","0.2927","0.2927","0.2927"
"2","0.4058","0.4058","0.4058","0.4058","0.4058"
"3","0.3878","0.3878","0.3878","0.3878","0.3878"
"4","0.4709","0.4709","0.4709","0.4709","0.4709"
"5","0.4954","0.4954","0.4954","0.4954","0.4954"
"6","0.4047","0.4047","0.4047","0.4047","0.4047"
"7","0.4622","0.4622","0.4622","0.4622","0.4622"
"8","0.4629","0.4629","0.4629","0.4629","0.4629"
"9","0.4559","0.4559","0.4559","0.4559","0.4559"
"10","0.4993","0.4993","0.4993","0.4993","0.4993"
"11","0.5042","0.5042","0.5042","0.5042","0.5042"
"12","0.5067","0.5067","0.5067","0.5067","0.5067"
"13","0.4876","0.4876","0.4876","0.4876","0.4876"
"14","0.4975","0.4975","0.4975","0.4975","0.4975"
"15","0.508","0.508","0.508","0.508","0.508"
"16","0.5169","0.5169","0.5169","0.5169","0.5169"
"17","0.5085","0.5085","0.5085","0.5085","0.5085"
"18","0.5089","0.5089","0.5089","0.5089","0.5089"
"19","0.503","0.503","0.503","0.503","0.503"
"20","0.5338","0.5338","0.5338","0.5338","0.5338"
"21","0.5205","0.5205","0.5205","0.5205","0.5205"
"22","0.5031","0.5031","0.5031","0.5031","0.5031"
"23","0.5333","0.5333","0.5333","0.5333","0.5333"
"24","0.4728","0.4728","0.4728","0.4728","0.4728"
"25","0.5198","0.5198","0.5198","0.5198","0.5198"
"26","0.5044","0.5044","0.5044","0.5044","0.5044"
"27","0.506","0.506","0.506","0.506","0.506"
"28","0.465","0.465","0.465","0.465","0.465"
"29","0.5006","0.5006","0.5006","0.5006","0.5006"
"30","0.5159","0.5159","0.5159","0.5159","0.5159"
"31","0.5203","0.5203","0.5203","0.5203","0.5203"
"32","0.5121","0.5121","0.5121","0.5121","0.5121"
"33","0.521","0.521","0.521","0.521","0.521"
"34","0.5292","0.5292","0.5292","0.5292","0.5292"
"35","0.521","0.521","0.521","0.521","0.521"
"36","0.5044","0.5044","0.5044","0.5044","0.5044"
"37","0.4982","0.4982","0.4982","0.4982","0.4982"
"38","0.523","0.523","0.523","0.523","0.523"
"39","0.5264","0.5264","0.5264","0.5264","0.5264"
"40","0.5239","0.5239","0.5239","0.5239","0.5239"
"41","0.4995","0.4995","0.4995","0.4995","0.4995"
"42","0.3622","0.3622","0.3622","0.3622","0.3622"
"43","0.5035","0.5035","0.5035","0.5035","0.5035"
"44","0.4865","0.4865","0.4865","0.4865","0.4865"
"45","0.5103","0.5103","0.5103","0.5103","0.5103"
"46","0.5205","0.5205","0.5205","0.5205","0.5205"
"47","0.4954","0.4954","0.4954","0.4954","0.4954"
"48","0.5467","0.5467","0.5467","0.5467","0.5467"
"49","0.5288","0.5288","0.5288","0.5288","0.5288"
"50","0.5068","0.5068","0.5068","0.5068","0.5068"
"51","0.4914","0.4914","0.4914","0.4914","0.4914"
"52","0.5399","0.5399","0.5399","0.5399","0.5399"
"53","0.5413","0.5413","0.5413","0.5413","0.5413"
"54","0.542","0.542","0.542","0.542","0.542"
"55","0.5065","0.5065","0.5065","0.5065","0.5065"
"56","0.5342","0.5342","0.5342","0.5342","0.5342"
"57","0.5529","0.5529","0.5529","0.5529","0.5529"
"58","0.4848","0.4848","0.4848","0.4848","0.4848"
"59","0.5121","0.5121","0.5121","0.5121","0.5121"
"60","0.4246","0.4246","0.4246","0.4246","0.4246"
"61","0.599","0.599","0.599","0.599","0.599"
"62","0.5896","0.5896","0.5896","0.5896","0.5896"
"63","0.6056","0.6056","0.6056","0.6056","0.6056"
"64","0.6143","0.6143","0.6143","0.6143","0.6143"
"65","0.6003","0.6003","0.6003","0.6003","0.6003"
"66","0.6003","0.6003","0.6003","0.6003","0.6003"
"67","0.6154","0.6154","0.6154","0.6154","0.6154"
"68","0.6106","0.6106","0.6106","0.6106","0.6106"
"69","0.628","0.628","0.628","0.628","0.628"
"70","0.6259","0.6259","0.6259","0.6259","0.6259"
"71","0.6256","0.6256","0.6256","0.6256","0.6256"
"72","0.632","0.632","0.632","0.632","0.632"
"73","0.6277","0.6277","0.6277","0.6277","0.6277"
"74","0.6283","0.6283","0.6283","0.6283","0.6283"
"75","0.6338","0.6338","0.6338","0.6338","0.6338"
"76","0.6206","0.6206","0.6206","0.6206","0.6206"
"77","0.6091","0.6091","0.6091","0.6091","0.6091"
"78","0.6097","0.6097","0.6097","0.6097","0.6097"
"79","0.6039","0.6039","0.6039","0.6039","0.6039"
"80","0.6266","0.6266","0.6266","0.6266","0.6266"
"81","0.6338","0.6338","0.6338","0.6338","0.6338"
"82","0.6369","0.6369","0.6369","0.6369","0.6369"
"83","0.6387","0.6387","0.6387","0.6387","0.6387"
"84","0.642","0.642","0.642","0.642","0.642"
"85","0.6281","0.6281","0.6281","0.6281","0.6281"
"86","0.6442","0.6442","0.6442","0.6442","0.6442"
"87","0.6314","0.6314","0.6314","0.6314","0.6314"
"88","0.6369","0.6369","0.6369","0.6369","0.6369"
"89","0.6198","0.6198","0.6198","0.6198","0.6198"
"90","0.6395","0.6395","0.6395","0.6395","0.6395"
"91","0.6447","0.6447","0.6447","0.6447","0.6447"
"92","0.6339","0.6339","0.6339","0.6339","0.6339"
"93","0.6568","0.6568","0.6568","0.6568","0.6568"
"94","0.6489","0.6489","0.6489","0.6489","0.6489"
"95","0.6533","0.6533","0.6533","0.6533","0.6533"
"96","0.6414","0.6414","0.6414","0.6414","0.6414"
"97","0.6355","0.6355","0.6355","0.6355","0.6355"
"98","0.635","0.635","0.635","0.635","0.635"
"99","0.6454","0.6454","0.6454","0.6454","0.6454"
"100","0.6544","0.6544","0.6544","0.6544","0.6544"
"101","0.657","0.657","0.657","0.657","0.657"
"102","0.6501","0.6501","0.6501","0.6501","0.6501"
"103","0.6414","0.6414","0.6414","0.6414","0.6414"
"104","0.6393","0.6393","0.6393","0.6393","0.6393"
"105","0.6412","0.6412","0.6412","0.6412","0.6412"
"106","0.6315","0.6315","0.6315","0.6315","0.6315"
"107","0.6436","0.6436","0.6436","0.6436","0.6436"
"108","0.6513","0.6513","0.6513","0.6513","0.6513"
"109","0.6226","0.6226","0.6226","0.6226","0.6226"
"110","0.6437","0.6437","0.6437","0.6437","0.6437"
"111","0.6283","0.6283","0.6283","0.6283","0.6283"
"112","0.6527","0.6527","0.6527","0.6527","0.6527"
"113","0.6452","0.6452","0.6452","0.6452","0.6452"
"114","0.6501","0.6501","0.6501","0.6501","0.6501"
"115","0.6372","0.6372","0.6372","0.6372","0.6372"
"116","0.6504","0.6504","0.6504","0.6504","0.6504"
"117","0.6506","0.6506","0.6506","0.6506","0.6506"
"118","0.6469","0.6469","0.6469","0.6469","0.6469"
"119","0.6507","0.6507","0.6507","0.6507","0.6507"
"120","0.662","0.662","0.662","0.662","0.662"
"121","0.6776","0.6776","0.6776","0.6776","0.6776"
"122","0.677","0.677","0.677","0.677","0.677"
"123","0.6808","0.6808","0.6808","0.6808","0.6808"
"124","0.6799","0.6799","0.6799","0.6799","0.6799"
"125","0.6856","0.6856","0.6856","0.6856","0.6856"
"126","0.6897","0.6897","0.6897","0.6897","0.6897"
"127","0.6796","0.6796","0.6796","0.6796","0.6796"
"128","0.6845","0.6845","0.6845","0.6845","0.6845"
"129","0.6881","0.6881","0.6881","0.6881","0.6881"
"130","0.6888","0.6888","0.6888","0.6888","0.6888"
"131","0.6907","0.6907","0.6907","0.6907","0.6907"
"132","0.6862","0.6862","0.6862","0.6862","0.6862"
"133","0.6927","0.6927","0.6927","0.6927","0.6927"
"134","0.6822","0.6822","0.6822","0.6822","0.6822"
"135","0.6924","0.6924","0.6924","0.6924","0.6924"
"136","0.6943","0.6943","0.6943","0.6943","0.6943"
"137","0.6867","0.6867","0.6867","0.6867","0.6867"
"138","0.6745","0.6745","0.6745","0.6745","0.6745"
"139","0.6936","0.6936","0.6936","0.6936","0.6936"
"140","0.685","0.685","0.685","0.685","0.685"
"141","0.6957","0.6957","0.6957","0.6957","0.6957"
"142","0.6888","0.6888","0.6888","0.6888","0.6888"
"143","0.6877","0.6877","0.6877","0.6877","0.6877"
"144","0.6802","0.6802","0.6802","0.6802","0.6802"
"145","0.6936","0.6936","0.6936","0.6936","0.6936"
"146","0.6759","0.6759","0.6759","0.6759","0.6759"
"147","0.6858","0.6858","0.6858","0.6858","0.6858"
"148","0.6889","0.6889","0.6889","0.6889","0.6889"
"149","0.6976","0.6976","0.6976","0.6976","0.6976"
"150","0.6963","0.6963","0.6963","0.6963","0.6963"
"151","0.6892","0.6892","0.6892","0.6892","0.6892"
"152","0.6837","0.6837","0.6837","0.6837","0.6837"
"153","0.678","0.678","0.678","0.678","0.678"
"154","0.6912","0.6912","0.6912","0.6912","0.6912"
"155","0.6903","0.6903","0.6903","0.6903","0.6903"
"156","0.6916","0.6916","0.6916","0.6916","0.6916"
"157","0.6853","0.6853","0.6853","0.6853","0.6853"
"158","0.6988","0.6988","0.6988","0.6988","0.6988"
"159","0.6786","0.6786","0.6786","0.6786","0.6786"
"160","0.6794","0.6794","0.6794","0.6794","0.6794"
"161","0.7055","0.7055","0.7055","0.7055","0.7055"
"162","0.6995","0.6995","0.6995","0.6995","0.6995"
"163","0.6972","0.6972","0.6972","0.6972","0.6972"
"164","0.6997","0.6997","0.6997","0.6997","0.6997"
"165","0.7001","0.7001","0.7001","0.7001","0.7001"
"166","0.6977","0.6977","0.6977","0.6977","0.6977"
"167","0.7042","0.7042","0.7042","0.7042","0.7042"
"168","0.7012","0.7012","0.7012","0.7012","0.7012"
"169","0.7056","0.7056","0.7056","0.7056","0.7056"
"170","0.7038","0.7038","0.7038","0.7038","0.7038"
"171","0.7065","0.7065","0.7065","0.7065","0.7065"
"172","0.6997","0.6997","0.6997","0.6997","0.6997"
"173","0.7074","0.7074","0.7074","0.7074","0.7074"
"174","0.7077","0.7077","0.7077","0.7077","0.7077"
"175","0.7041","0.7041","0.7041","0.7041","0.7041"
"176","0.7024","0.7024","0.7024","0.7024","0.7024"
"177","0.7045","0.7045","0.7045","0.7045","0.7045"
"178","0.7049","0.7049","0.7049","0.7049","0.7049"
"179","0.7061","0.7061","0.7061","0.7061","0.7061"
"180","0.7047","0.7047","0.7047","0.7047","0.7047"
"181","0.705","0.705","0.705","0.705","0.705"
"182","0.7024","0.7024","0.7024","0.7024","0.7024"
"183","0.6996","0.6996","0.6996","0.6996","0.6996"
"184","0.7057","0.7057","0.7057","0.7057","0.7057"
"185","0.7009","0.7009","0.7009","0.7009","0.7009"
"186","0.7052","0.7052","0.7052","0.7052","0.7052"
"187","0.7054","0.7054","0.7054","0.7054","0.7054"
"188","0.7042","0.7042","0.7042","0.7042","0.7042"
"189","0.7029","0.7029","0.7029","0.7029","0.7029"
"190","0.7082","0.7082","0.7082","0.7082","0.7082"
"191","0.6974","0.6974","0.6974","0.6974","0.6974"
"192","0.7012","0.7012","0.7012","0.7012","0.7012"
"193","0.6912","0.6912","0.6912","0.6912","0.6912"
"194","0.7105","0.7105","0.7105","0.7105","0.7105"
"195","0.7037","0.7037","0.7037","0.7037","0.7037"
"196","0.7035","0.7035","0.7035","0.7035","0.7035"
"197","0.6997","0.6997","0.6997","0.6997","0.6997"
"198","0.704","0.704","0.704","0.704","0.704"
"199","0.7107","0.7107","0.7107","0.7107","0.7107"
"200","0.7001","0.7001","0.7001","0.7001","0.7001"
