"Epoch","base","base+","cutout","mixup","cutmix"
"112","0.6361","0.6967","0.6887","0.6823","0.6957"
"113","0.6465","0.6884","0.6908","0.6733","0.6838"
"114","0.6479","0.6894","0.6877","0.6832","0.6898"
"115","0.6448","0.6735","0.6941","0.6903","0.6965"
"116","0.6278","0.6812","0.6779","0.6789","0.6867"
"117","0.6469","0.686","0.6826","0.6891","0.7093"
"118","0.6391","0.6893","0.6924","0.6888","0.6886"
"119","0.641","0.6875","0.6939","0.6984","0.6835"
"120","0.6461","0.6879","0.6972","0.6927","0.6919"
"121","0.7036","0.7556","0.7597","0.7454","0.7589"
"122","0.7051","0.7593","0.7622","0.7563","0.7635"
"123","0.7049","0.7626","0.7614","0.7532","0.7615"
"124","0.7071","0.7584","0.7594","0.7531","0.7612"
"125","0.7047","0.7616","0.7618","0.7529","0.7674"
"126","0.7061","0.7579","0.762","0.7493","0.7644"
"127","0.7086","0.7611","0.7629","0.7544","0.7621"
"128","0.7064","0.7583","0.7625","0.7539","0.7662"
"129","0.7038","0.7589","0.7625","0.7585","0.7601"
"130","0.706","0.761","0.7595","0.7554","0.7578"
"131","0.7053","0.7586","0.7563","0.756","0.7598"
"132","0.704","0.7599","0.761","0.7592","0.7686"
"133","0.7051","0.7588","0.761","0.7601","0.7619"
"134","0.7041","0.7579","0.7563","0.757","0.7594"
"135","0.7062","0.758","0.7566","0.755","0.7586"
"136","0.7055","0.7594","0.7606","0.7531","0.7623"
"137","0.7053","0.7603","0.7516","0.7528","0.7608"
"138","0.7053","0.7571","0.76","0.7649","0.7643"
"139","0.7056","0.7569","0.7566","0.7529","0.7621"
"140","0.7046","0.7569","0.7583","0.7501","0.7579"
"141","0.7045","0.7577","0.7568","0.7436","0.7599"
"142","0.7048","0.7547","0.7552","0.7552","0.766"
"143","0.7031","0.7588","0.7499","0.7467","0.7617"
"144","0.7043","0.757","0.7531","0.7554","0.7607"
"145","0.7049","0.7598","0.7514","0.7611","0.75"
"146","0.7051","0.7566","0.756","0.7565","0.7609"
"147","0.704","0.7556","0.7538","0.7505","0.7558"
"148","0.7027","0.7567","0.7513","0.7485","0.7559"
"149","0.7027","0.7568","0.7483","0.7488","0.7588"
"150","0.7046","0.7542","0.7577","0.7603","0.7521"
"151","0.7058","0.7553","0.7476","0.7503","0.7562"
"152","0.7034","0.7558","0.7516","0.7401","0.7605"
"153","0.7006","0.7541","0.7514","0.7563","0.7602"
"154","0.7037","0.7566","0.7459","0.7581","0.7558"
"155","0.7057","0.7577","0.7506","0.7557","0.7573"
"156","0.7047","0.7517","0.747","0.7563","0.7558"
"157","0.7043","0.7535","0.7503","0.7453","0.755"
"158","0.7051","0.756","0.7493","0.76","0.7522"
"159","0.7053","0.7571","0.75","0.7498","0.7511"
"160","0.704","0.7583","0.7451","0.7567","0.7535"
"161","0.704","0.7616","0.7651","0.7689","0.7685"
"162","0.7031","0.762","0.7655","0.7606","0.7679"
"163","0.7052","0.7607","0.7678","0.7683","0.7669"
"164","0.7023","0.7624","0.767","0.7724","0.77"
"165","0.7068","0.7609","0.7648","0.7632","0.7718"
"166","0.704","0.764","0.7655","0.7694","0.7685"
"167","0.7034","0.7615","0.7668","0.7677","0.7733"
"168","0.7048","0.764","0.7677","0.7653","0.7751"
"169","0.7032","0.7614","0.7676","0.7726","0.7725"
"170","0.7033","0.7607","0.7645","0.7695","0.7727"
"171","0.7015","0.7589","0.7678","0.7568","0.774"
"172","0.703","0.7618","0.7673","0.7727","0.77"
"173","0.7041","0.7598","0.7703","0.7697","0.773"
"174","0.7034","0.7601","0.7708","0.7719","0.7749"
"175","0.7042","0.7613","0.766","0.7726","0.7724"
"176","0.704","0.762","0.7692","0.7674","0.7739"
"177","0.7046","0.7612","0.767","0.7699","0.7716"
"178","0.7048","0.7623","0.7687","0.7703","0.7729"
"179","0.7044","0.7599","0.7669","0.767","0.7722"
"180","0.7009","0.7629","0.7661","0.7733","0.7729"
"181","0.7035","0.7608","0.7666","0.767","0.7732"
"182","0.7019","0.7603","0.7685","0.7724","0.7721"
"183","0.702","0.7589","0.7657","0.7639","0.774"
"184","0.7021","0.7598","0.7679","0.7743","0.7727"
"185","0.7035","0.7599","0.7686","0.7722","0.7716"
