"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0893","0.0942","0.0795","0.0644","0.0947"
"2","0.0972","0.095","0.0638","0.0994","0.1183"
"3","0.113","0.1202","0.0964","0.1189","0.1347"
"4","0.1145","0.1378","0.1232","0.1407","0.1433"
"5","0.1325","0.1365","0.1213","0.1482","0.1187"
"6","0.128","0.1474","0.1403","0.1264","0.1485"
"7","0.141","0.1446","0.1375","0.16","0.1448"
"8","0.1473","0.1572","0.1395","0.1462","0.1466"
"9","0.1445","0.1412","0.1545","0.1589","0.1548"
"10","0.1636","0.1337","0.1644","0.1763","0.1691"
"11","0.1384","0.1529","0.1524","0.1551","0.1579"
"12","0.1505","0.1509","0.1693","0.1471","0.1474"
"13","0.1483","0.1628","0.1636","0.1533","0.1462"
"14","0.136","0.1674","0.1511","0.136","0.1572"
"15","0.1569","0.1697","0.1521","0.1624","0.1552"
"16","0.1594","0.1492","0.1658","0.1535","0.1173"
"17","0.1487","0.1695","0.1761","0.1524","0.1739"
"18","0.1475","0.1657","0.1628","0.1621","0.1625"
"19","0.1644","0.1613","0.1726","0.1668","0.1756"
"20","0.1442","0.1528","0.1593","0.1683","0.1546"
"21","0.1418","0.1602","0.1542","0.1645","0.1711"
"22","0.151","0.1525","0.1511","0.1481","0.18"
"23","0.1683","0.1706","0.1636","0.1643","0.1812"
"24","0.1645","0.1693","0.1596","0.1485","0.1565"
"25","0.1638","0.1699","0.1763","0.1587","0.1704"
"26","0.1607","0.1503","0.1409","0.1642","0.1614"
"27","0.1579","0.1533","0.1685","0.1706","0.1613"
"28","0.1426","0.1718","0.1561","0.1648","0.1702"
"29","0.1472","0.1464","0.1619","0.159","0.1755"
"30","0.1115","0.1515","0.1753","0.1643","0.1615"
"31","0.1342","0.1574","0.1743","0.1718","0.1425"
"32","0.1501","0.1649","0.1641","0.1688","0.1676"
"33","0.1652","0.1737","0.1789","0.1742","0.1634"
"34","0.1604","0.1558","0.1852","0.1836","0.172"
"35","0.1383","0.1763","0.1694","0.1767","0.1261"
"36","0.1493","0.1707","0.157","0.1559","0.1455"
"37","0.1606","0.1768","0.1737","0.1737","0.1672"
"38","0.1736","0.1784","0.1647","0.1716","0.169"
"39","0.161","0.1524","0.1682","0.1619","0.1413"
"40","0.1635","0.1683","0.1751","0.1798","0.1795"
"41","0.1362","0.1809","0.1717","0.1595","0.1684"
"42","0.1621","0.1686","0.1672","0.1724","0.1589"
"43","0.1708","0.1653","0.171","0.1717","0.1616"
"44","0.1565","0.1575","0.1765","0.1703","0.156"
"45","0.1446","0.158","0.1595","0.1597","0.1549"
"46","0.1534","0.1716","0.1711","0.1661","0.1731"
"47","0.1734","0.1438","0.162","0.1816","0.1645"
"48","0.1401","0.1411","0.1745","0.1719","0.1665"
"49","0.1618","0.1692","0.1795","0.1787","0.147"
"50","0.1565","0.168","0.1785","0.173","0.1748"
"51","0.1439","0.179","0.177","0.1809","0.1785"
"52","0.1329","0.1539","0.1598","0.1632","0.1293"
"53","0.1492","0.1415","0.1689","0.1706","0.1626"
"54","0.1627","0.1624","0.1643","0.1654","0.1682"
"55","0.1715","0.1696","0.184","0.1404","0.1839"
"56","0.1584","0.182","0.155","0.1597","0.1625"
"57","0.149","0.1783","0.1588","0.1495","0.1616"
"58","0.1712","0.1674","0.177","0.1712","0.17"
"59","0.1552","0.1559","0.1744","0.1728","0.1701"
"60","0.1627","0.1709","0.17","0.1716","0.1647"
"61","0.2387","0.2463","0.2535","0.2434","0.2494"
"62","0.2544","0.2575","0.2648","0.2611","0.2666"
"63","0.2752","0.2641","0.2786","0.2724","0.2735"
"64","0.2773","0.2746","0.2803","0.2707","0.2742"
"65","0.2737","0.279","0.2833","0.2799","0.2702"
"66","0.2876","0.2867","0.2847","0.2702","0.282"
