"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"111","0.856","0.8296","0.8368","0.8871","0.8401"
"112","0.8375","0.8411","0.8278","0.8876","0.8526"
"113","0.8446","0.8606","0.8182","0.8894","0.8683"
"114","0.8513","0.8684","0.8238","0.8897","0.8721"
"115","0.8509","0.8824","0.8296","0.8897","0.8799"
"116","0.8546","0.8834","0.8396","0.8903","0.8805"
"117","0.8498","0.886","0.854","0.8923","0.8819"
"118","0.8415","0.8864","0.8449","0.8918","0.882"
"119","0.8396","0.8888","0.8391","0.8914","0.8842"
"120","0.8388","0.8894","0.8475","0.8924","0.8838"
"121","0.8726","0.8901","0.8713","0.8927","0.8848"
"122","0.8758","0.8906","0.8733","0.8911","0.8848"
"123","0.8768","0.8913","0.8749","0.8936","0.8858"
"124","0.8767","0.8913","0.8757","0.8919","0.8851"
"125","0.8801","0.8922","0.8753","0.8932","0.8842"
"126","0.8787","0.8911","0.8775","0.8925","0.8857"
"127","0.879","0.8906","0.8762","0.8928","0.8854"
"128","0.8794","0.8916","0.877","0.8924","0.8861"
"129","0.8813","0.891","0.8781","0.8926","0.8858"
"130","0.8809","0.891","0.8785","0.8929","0.8866"
"131","0.8822","0.892","0.8775","0.8936","0.8864"
"132","0.8812","0.8912","0.8783","0.8922","0.887"
"133","0.8825","0.892","0.8793","0.8923","0.8862"
"134","0.8827","0.8922","0.8794","0.8927","0.8871"
"135","0.8833","0.8923","0.8806","0.8926","0.8867"
"136","0.8838","0.8922","0.8804","0.8936","0.8857"
"137","0.8845","0.8922","0.88","0.8921","0.8847"
"138","0.8845","0.8919","0.8799","0.893","0.886"
"139","0.8849","0.8917","0.8801","0.8939","0.8866"
"140","0.8843","0.8915","0.8805","0.8918","0.8861"
"141","0.8849","0.8916","0.881","0.8932","0.8875"
"142","0.885","0.8918","0.8808","0.8923","0.8863"
"143","0.8846","0.8923","0.8812","0.8925","0.8875"
"144","0.8834","0.891","0.8807","0.8923","0.8879"
"145","0.8857","0.891","0.8828","0.8921","0.8882"
"146","0.8862","0.8925","0.8815","0.8925","0.8864"
"147","0.8857","0.8918","0.882","0.8934","0.8868"
"148","0.8865","0.8926","0.8826","0.8927","0.887"
"149","0.8861","0.893","0.8827","0.8921","0.8865"
"150","0.8863","0.8923","0.882","0.8921","0.8877"
"151","0.8875","0.8924","0.8829","0.8924","0.8883"
"152","0.887","0.8926","0.8823","0.8917","0.8868"
"153","0.8875","0.892","0.8814","0.8912","0.8884"
"154","0.8867","0.8931","0.8818","0.8914","0.8875"
"155","0.887","0.8929","0.8836","0.892","0.8874"
"156","0.8881","0.8925","0.8821","0.8909","0.8865"
"157","0.8884","0.8928","0.8836","0.8922","0.8872"
"158","0.8873","0.8918","0.883","0.8921","0.8864"
"159","0.8889","0.8929","0.884","0.8926","0.8863"
"160","0.889","0.8936","0.8841","0.8917","0.8869"
"161","0.8873","0.893","0.8848","0.8915","0.8876"
"162","0.888","0.8927","0.8832","0.8916","0.8869"
"163","0.8884","0.8936","0.8831","0.892","0.886"
"164","0.889","0.8935","0.8843","0.8926","0.8876"
"165","0.8887","0.8925","0.8829","0.8924","0.8863"
"166","0.8888","0.8936","0.8839","0.8928","0.8874"
"167","0.8886","0.8931","0.8837","0.8932","0.8883"
"168","0.8884","0.8914","0.8836","0.8919","0.8874"
"169","0.8889","0.8929","0.883","0.8928","0.8878"
"170","0.8882","0.8927","0.883","0.8928","0.8864"
"171","0.8883","0.8923","0.8835","0.8913","0.887"
"172","0.8886","0.8917","0.884","0.8912","0.8868"
"173","0.8889","0.8934","0.8834","0.8927","0.8877"
"174","0.888","0.892","0.8844","0.8932","0.8868"
"175","0.8893","0.8939","0.885","0.8928","0.8875"
"176","0.8893","0.8932","0.8847","0.8913","0.887"
"177","0.8893","0.8931","0.8848","0.8925","0.8865"
"178","0.8886","0.8935","0.8829","0.8926","0.8885"
"179","0.89","0.8924","0.8836","0.8923","0.8881"
"180","0.8892","0.8928","0.8855","0.892","0.8869"
"181","0.8894","0.8932","0.8845","0.8927","0.8869"
"182","0.8891","0.8926","0.8835","0.8923","0.8874"
"183","0.8889","0.893","0.8825","0.8927","0.8873"
"184","0.8885","0.8923","0.8838","0.8915","0.887"
"185","0.8897","0.8938","0.8848","0.8937","0.8869"
"186","0.8895","0.8935","0.8849","0.893","0.8864"
"187","0.8882","0.8926","0.8846","0.8908","0.8879"
"188","0.8891","0.8924","0.8844","0.8922","0.8871"
"189","0.8886","0.8931","0.8838","0.8923","0.8865"
"190","0.8892","0.8934","0.8846","0.8932","0.8863"
"191","0.8892","0.8936","0.8848","0.8922","0.8869"
"192","0.8886","0.8922","0.8841","0.8932","0.8879"
"193","0.8893","0.8928","0.8854","0.8919","0.8874"
"194","0.8901","0.8936","0.8844","0.8931","0.8868"
"195","0.8885","0.8929","0.8852","0.8928","0.8867"
"196","0.8891","0.8922","0.8846","0.8908","0.8882"
"197","0.8887","0.8939","0.8842","0.8937","0.8877"
"198","0.8887","0.8925","0.8853","0.8923","0.8874"
"199","0.8876","0.8943","0.8847","0.8926","0.8864"
"200","0.8893","0.8934","0.8845","0.8931","0.8881"
