"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.5282","0.5282","0.5282","0.5282","0.5282"
"2","0.6185","0.6185","0.6185","0.6185","0.6185"
"3","0.6751","0.6751","0.6751","0.6751","0.6751"
"4","0.7112","0.7112","0.7112","0.7112","0.7112"
"5","0.667","0.667","0.667","0.667","0.667"
"6","0.725","0.725","0.725","0.725","0.725"
"7","0.7615","0.7615","0.7615","0.7615","0.7615"
"8","0.7897","0.7897","0.7897","0.7897","0.7897"
"9","0.7485","0.7485","0.7485","0.7485","0.7485"
"10","0.7823","0.7823","0.7823","0.7823","0.7823"
"11","0.8051","0.8051","0.8051","0.8051","0.8051"
"12","0.8143","0.8143","0.8143","0.8143","0.8143"
"13","0.7694","0.7694","0.7694","0.7694","0.7694"
"14","0.7159","0.7159","0.7159","0.7159","0.7159"
"15","0.7111","0.7111","0.7111","0.7111","0.7111"
"16","0.7834","0.7834","0.7834","0.7834","0.7834"
"17","0.755","0.755","0.755","0.755","0.755"
"18","0.808","0.808","0.808","0.808","0.808"
"19","0.762","0.762","0.762","0.762","0.762"
"20","0.8064","0.8064","0.8064","0.8064","0.8064"
"21","0.7856","0.7856","0.7856","0.7856","0.7856"
"22","0.7808","0.7808","0.7808","0.7808","0.7808"
"23","0.8018","0.8018","0.8018","0.8018","0.8018"
"24","0.7539","0.7539","0.7539","0.7539","0.7539"
"25","0.7953","0.7953","0.7953","0.7953","0.7953"
"26","0.751","0.751","0.751","0.751","0.751"
"27","0.7643","0.7643","0.7643","0.7643","0.7643"
"28","0.8058","0.8058","0.8058","0.8058","0.8058"
"29","0.8288","0.8288","0.8288","0.8288","0.8288"
"30","0.751","0.751","0.751","0.751","0.751"
"31","0.7963","0.7963","0.7963","0.7963","0.7963"
"32","0.7909","0.7909","0.7909","0.7909","0.7909"
"33","0.7494","0.7494","0.7494","0.7494","0.7494"
"34","0.7589","0.7589","0.7589","0.7589","0.7589"
"35","0.7937","0.7937","0.7937","0.7937","0.7937"
"36","0.8204","0.8204","0.8204","0.8204","0.8204"
"37","0.8385","0.8385","0.8385","0.8385","0.8385"
"38","0.7714","0.7714","0.7714","0.7714","0.7714"
"39","0.809","0.809","0.809","0.809","0.809"
"40","0.8222","0.8222","0.8222","0.8222","0.8222"
"41","0.8216","0.8216","0.8216","0.8216","0.8216"
"42","0.7951","0.7951","0.7951","0.7951","0.7951"
"43","0.8588","0.8588","0.8588","0.8588","0.8588"
"44","0.773","0.773","0.773","0.773","0.773"
"45","0.8186","0.8186","0.8186","0.8186","0.8186"
"46","0.8295","0.8295","0.8295","0.8295","0.8295"
"47","0.7907","0.7907","0.7907","0.7907","0.7907"
"48","0.835","0.835","0.835","0.835","0.835"
"49","0.8417","0.8417","0.8417","0.8417","0.8417"
"50","0.8224","0.8224","0.8224","0.8224","0.8224"
"51","0.8033","0.8033","0.8033","0.8033","0.8033"
"52","0.8358","0.8358","0.8358","0.8358","0.8358"
"53","0.7964","0.7964","0.7964","0.7964","0.7964"
"54","0.8135","0.8135","0.8135","0.8135","0.8135"
"55","0.7842","0.7842","0.7842","0.7842","0.7842"
"56","0.8294","0.8294","0.8294","0.8294","0.8294"
"57","0.8427","0.8427","0.8427","0.8427","0.8427"
"58","0.8312","0.8312","0.8312","0.8312","0.8312"
"59","0.8257","0.8257","0.8257","0.8257","0.8257"
"60","0.7801","0.7801","0.7801","0.7801","0.7801"
"61","0.9078","0.9078","0.9078","0.9078","0.9078"
"62","0.9142","0.9142","0.9142","0.9142","0.9142"
"63","0.9008","0.9008","0.9008","0.9008","0.9008"
"64","0.9074","0.9074","0.9074","0.9074","0.9074"
"65","0.8947","0.8947","0.8947","0.8947","0.8947"
"66","0.9129","0.9129","0.9129","0.9129","0.9129"
"67","0.9128","0.9128","0.9128","0.9128","0.9128"
"68","0.9117","0.9117","0.9117","0.9117","0.9117"
"69","0.9101","0.9101","0.9101","0.9101","0.9101"
"70","0.9202","0.9202","0.9202","0.9202","0.9202"
