""
epoch,train_acc,test_acc
67,0.55204,0.6119
68,0.55,0.6283
69,0.55412,0.6206
70,0.55348,0.621
71,0.55772,0.6196
72,0.55616,0.6227
73,0.56032,0.6228
74,0.56262,0.6365
75,0.55902,0.6394
76,0.56302,0.6332
77,0.56654,0.6308
78,0.56368,0.6341
79,0.56578,0.6322
80,0.56702,0.6082
81,0.56702,0.6394
82,0.56642,0.6203
83,0.5714,0.6394
84,0.56954,0.6383
85,0.57102,0.6511
86,0.56862,0.638
87,0.57408,0.6422
88,0.57452,0.6483
89,0.572,0.6503
90,0.5716,0.6397
91,0.57414,0.6393
92,0.57446,0.6508
93,0.5725,0.6292
94,0.57292,0.6438
95,0.57498,0.654
96,0.57382,0.6579
97,0.57816,0.6493
98,0.57486,0.6444
99,0.57624,0.6464
100,0.5788,0.6484
101,0.57808,0.6397
102,0.57576,0.6639
103,0.57958,0.6512
104,0.58122,0.6535
105,0.575,0.6401
106,0.5794,0.6634
107,0.58164,0.6533
108,0.58038,0.6466
109,0.57506,0.6534
110,0.57918,0.6618
111,0.5801,0.6633
112,0.58176,0.642
113,0.57816,0.6647
114,0.58008,0.6581
115,0.58286,0.6554
116,0.58222,0.6657
117,0.58102,0.6718
118,0.5809,0.653
119,0.58286,0.6667
120,0.58372,0.6525
121,0.61174,0.6893
122,0.61508,0.6922
123,0.61582,0.6934
124,0.62172,0.6904
125,0.61972,0.6957
126,0.62452,0.6953
127,0.6204,0.7029
128,0.62422,0.7026
129,0.62376,0.6997
130,0.62472,0.6895
131,0.62302,0.6951
132,0.62688,0.7004
133,0.62712,0.6998
134,0.62468,0.6953
135,0.63004,0.7047
136,0.62856,0.7003
137,0.62942,0.7016
138,0.63064,0.6979
139,0.62862,0.6992
140,0.63038,0.6998
141,0.62914,0.705
142,0.6296,0.7057
143,0.63056,0.7058
144,0.62996,0.7039
145,0.6324,0.7111
146,0.6305,0.7078
147,0.63032,0.7042
148,0.63006,0.701
149,0.6313,0.701
150,0.63154,0.706
151,0.63238,0.7093
152,0.63246,0.7011
153,0.63356,0.6972
154,0.63322,0.7073
155,0.63072,0.6947
156,0.63148,0.7052
157,0.63458,0.6988
158,0.63306,0.6974
159,0.63518,0.703
160,0.63422,0.699
161,0.64126,0.7138
162,0.64684,0.717
163,0.64946,0.7166
164,0.64574,0.7114
165,0.64676,0.7131
166,0.64838,0.7185
167,0.64834,0.7157
168,0.64708,0.7162
169,0.64474,0.7191
170,0.6478,0.7146
171,0.64948,0.7166
172,0.64946,0.7186
173,0.64732,0.7161
174,0.64778,0.709
175,0.65028,0.7165
176,0.64832,0.7154
177,0.64734,0.7166
178,0.64906,0.7192
179,0.65112,0.7202
180,0.65234,0.7201
181,0.64982,0.7174
182,0.65066,0.7157
183,0.6493,0.7195
184,0.6514,0.7187
185,0.64834,0.7181
186,0.6512,0.721
187,0.65044,0.7176
188,0.65188,0.716
189,0.64784,0.7158
190,0.65302,0.7176
191,0.6514,0.7172
192,0.64662,0.7137
193,0.6503,0.7169
194,0.65004,0.7188
195,0.64816,0.7192
196,0.64904,0.7172
197,0.64956,0.7184
198,0.65214,0.7188
199,0.65364,0.717
200,0.65376,0.7174
""
epoch,train_acc,test_acc
1,0.2588,0.3389
2,0.34206,0.3874
3,0.36194,0.4307
4,0.37482,0.4314
5,0.38138,0.4018
6,0.3931,0.453
7,0.39742,0.4612
8,0.40156,0.4409
9,0.4043,0.455
10,0.40544,0.4564
11,0.4109,0.4509
12,0.40824,0.4616
13,0.41358,0.4432
14,0.40664,0.4601
15,0.41124,0.4802
16,0.4124,0.4698
17,0.41446,0.46
18,0.41808,0.4648
19,0.41792,0.4706
20,0.42596,0.4978
21,0.4192,0.4623
22,0.41714,0.4958
23,0.4188,0.4951
24,0.42178,0.3404
25,0.41434,0.483
26,0.42594,0.4841
27,0.42248,0.4814
28,0.42534,0.4773
29,0.42246,0.4676
30,0.43036,0.4729
31,0.42894,0.4766
32,0.42944,0.4655
33,0.42778,0.5074
34,0.43052,0.423
35,0.42464,0.4898
36,0.43042,0.4917
37,0.43114,0.4847
38,0.4337,0.4948
39,0.426,0.5008
40,0.42712,0.4507
41,0.42834,0.4812
42,0.42584,0.4894
43,0.428,0.4843
44,0.43132,0.4854
45,0.43214,0.5028
46,0.43088,0.4984
47,0.43122,0.5023
48,0.43246,0.5206
49,0.43098,0.4979
50,0.43112,0.5065
51,0.4265,0.4939
52,0.42864,0.5069
53,0.43348,0.4842
54,0.43182,0.4893
55,0.43232,0.4475
56,0.4317,0.5082
57,0.42972,0.5113
58,0.43592,0.4894
59,0.4284,0.4926
60,0.42898,0.4994
61,0.49538,0.5921
62,0.5196,0.6061
63,0.52326,0.6062
64,0.5332,0.604
65,0.53378,0.5923
66,0.5416,0.6286
67,0.54656,0.6157
68,0.54522,0.6316
69,0.54992,0.6314
70,0.55264,0.5953
71,0.55258,0.6267
72,0.55362,0.6286
73,0.55804,0.6302
74,0.55832,0.6331
75,0.55392,0.6416
76,0.55624,0.6333
77,0.55804,0.6318
78,0.5602,0.6367
79,0.56344,0.643
80,0.56242,0.6384
81,0.56298,0.6416
82,0.56648,0.6408
83,0.56414,0.6493
84,0.56302,0.6525
85,0.56878,0.6428
86,0.5705,0.6503
87,0.5715,0.6509
88,0.57224,0.6519
89,0.5724,0.6488
90,0.57432,0.6512
91,0.57298,0.6486
92,0.57312,0.6521
93,0.5773,0.6489
94,0.5761,0.6243
95,0.57324,0.6463
96,0.57462,0.6522
97,0.57022,0.6545
98,0.57618,0.6444
99,0.57792,0.6583
100,0.57848,0.6421
101,0.57854,0.6464
102,0.57596,0.652
103,0.57492,0.6536
104,0.57886,0.6497
105,0.5798,0.6543
106,0.58328,0.6486
107,0.57972,0.6503
108,0.58122,0.6607
109,0.5795,0.6577
110,0.58046,0.6579
111,0.57962,0.6354
112,0.58196,0.6556
113,0.58156,0.6582
114,0.5845,0.6523
115,0.5823,0.6656
116,0.5855,0.65
117,0.5875,0.6617
118,0.58202,0.6548
119,0.58372,0.6694
120,0.58454,0.658
121,0.61364,0.6921
122,0.61888,0.6878
123,0.62198,0.698
124,0.62518,0.6961
125,0.62792,0.693
126,0.6256,0.6958
127,0.62684,0.7033
128,0.62764,0.7129
129,0.62846,0.6911
130,0.62614,0.6946
131,0.62816,0.6916
132,0.62886,0.694
133,0.63432,0.6941
134,0.63204,0.6988
135,0.63048,0.6984
136,0.63214,0.6987
137,0.63488,0.7007
138,0.63558,0.694
139,0.63006,0.6945
140,0.63304,0.7026
141,0.6339,0.7086
142,0.63636,0.7065
143,0.63404,0.6986
144,0.63458,0.703
145,0.63156,0.7026
146,0.63578,0.705
147,0.63466,0.704
148,0.63378,0.7096
149,0.63598,0.7055
150,0.63292,0.6994
151,0.63314,0.7054
152,0.63692,0.7093
153,0.64116,0.6991
154,0.63588,0.6934
155,0.63758,0.7007
156,0.63564,0.7066
157,0.6349,0.7007
158,0.63774,0.6979
159,0.6377,0.7057
160,0.63786,0.7043
161,0.64668,0.7136
162,0.65028,0.7171
163,0.6511,0.7172
164,0.6548,0.7124
165,0.65266,0.7154
166,0.65066,0.7176
167,0.6486,0.7136
168,0.65128,0.7155
169,0.65284,0.7186
170,0.6503,0.7155
171,0.6513,0.7166
172,0.6543,0.7156
173,0.65114,0.7182
174,0.65298,0.714
175,0.65282,0.7111
176,0.65534,0.7182
177,0.65508,0.7185
178,0.65436,0.7118
179,0.6526,0.7176
180,0.65236,0.7158
181,0.65366,0.7148
182,0.65044,0.7185
183,0.65262,0.7187
184,0.65176,0.7113
185,0.6544,0.7191
186,0.65412,0.7209
187,0.65574,0.7188
188,0.65332,0.7186
189,0.6563,0.7168
190,0.65272,0.7148
191,0.65246,0.7201
192,0.65268,0.7179
193,0.65674,0.7227
194,0.65528,0.7228
195,0.65296,0.7165
196,0.6531,0.7133
197,0.65548,0.7211
198,0.65404,0.7233
199,0.65262,0.7201
200,0.65644,0.7186
""
epoch,train_acc,test_acc
1,0.23906,0.3518
2,0.32092,0.3976
3,0.34318,0.414
4,0.34684,0.4241
5,0.36086,0.369
6,0.3677,0.3959
7,0.37144,0.4435
8,0.37944,0.3919
9,0.3788,0.3953
10,0.38238,0.4139
11,0.3859,0.4188
12,0.38696,0.4494
13,0.39326,0.3942
14,0.39258,0.3886
15,0.39904,0.44
16,0.3948,0.4678
17,0.40138,0.4679
18,0.39572,0.4489
19,0.40278,0.4147
20,0.40806,0.4778
21,0.39944,0.4733
22,0.40518,0.4863
23,0.40164,0.4799
24,0.4023,0.4726
25,0.38884,0.4394
26,0.40234,0.4442
27,0.40576,0.4744
28,0.4055,0.4859
29,0.41162,0.4569
30,0.4111,0.4851
31,0.41366,0.4749
32,0.41182,0.438
33,0.41196,0.4808
34,0.41502,0.4445
35,0.41582,0.482
36,0.41226,0.477
37,0.41038,0.4424
38,0.41572,0.4664
39,0.41526,0.473
40,0.41536,0.5027
41,0.41624,0.4921
42,0.41402,0.4832
43,0.41668,0.4899
44,0.41754,0.4751
45,0.417,0.496
46,0.41654,0.5177
47,0.4145,0.4854
48,0.41788,0.4736
49,0.41494,0.4946
50,0.41618,0.4855
51,0.41788,0.4826
52,0.41896,0.4973
53,0.41984,0.4882
54,0.41954,0.4645
55,0.4201,0.4762
56,0.42038,0.4789
57,0.4202,0.5013
58,0.4221,0.4733
59,0.42,0.4824
60,0.42076,0.4966
61,0.48134,0.5774
62,0.50222,0.577
63,0.51108,0.5838
64,0.51912,0.5917
65,0.52038,0.5899
66,0.52424,0.6059
67,0.5294,0.6108
68,0.53362,0.6105
69,0.53188,0.6151
70,0.53692,0.6077
71,0.54016,0.5988
72,0.53984,0.6033
73,0.5428,0.6186
74,0.54602,0.6188
75,0.54548,0.6242
76,0.54556,0.6328
77,0.55266,0.6359
78,0.55114,0.6261
79,0.54966,0.6318
80,0.55318,0.6282
81,0.55278,0.6032
82,0.55612,0.6306
83,0.55054,0.6333
84,0.55278,0.625
85,0.5566,0.6341
86,0.5566,0.6043
87,0.55528,0.6323
88,0.55762,0.6418
89,0.55492,0.6333
90,0.55922,0.6294
91,0.55682,0.633
92,0.55878,0.6175
93,0.55932,0.6306
94,0.56236,0.6329
95,0.56264,0.6452
96,0.563,0.637
97,0.56448,0.6509
98,0.56534,0.6404
99,0.56732,0.6342
100,0.56148,0.6363
101,0.5664,0.6433
102,0.56658,0.6399
103,0.56606,0.6452
104,0.56308,0.6321
105,0.56976,0.6393
106,0.56896,0.6518
107,0.5657,0.6533
108,0.56848,0.6423
109,0.56422,0.6492
110,0.56514,0.653
111,0.5687,0.6459
112,0.5647,0.6419
113,0.5685,0.6457
114,0.57178,0.6301
115,0.56692,0.6408
116,0.5675,0.6481
117,0.57168,0.6293
118,0.5724,0.6442
119,0.57178,0.6607
120,0.5715,0.6427
121,0.60028,0.6741
