""
epoch,train_acc,test_acc
1,0.32736000418663025,0.5282
2,0.4737200140953064,0.6185
3,0.5081999897956848,0.6751
4,0.5400999784469604,0.7112
5,0.5743200182914734,0.667
6,0.5803999900817871,0.725
7,0.5713000297546387,0.7615
8,0.5855799913406372,0.7897
9,0.6067799925804138,0.7485
10,0.5891000032424927,0.7823
11,0.5796800255775452,0.8051
12,0.6068999767303467,0.8143
13,0.5943999886512756,0.7694
14,0.6020399928092957,0.7159
15,0.6264600157737732,0.7111
16,0.6118000149726868,0.7834
17,0.6057199835777283,0.755
18,0.6035400032997131,0.808
19,0.6313199996948242,0.762
20,0.609000027179718,0.8064
21,0.6434000134468079,0.7856
22,0.6195399761199951,0.7808
23,0.6266599893569946,0.8018
24,0.6388000249862671,0.7539
25,0.637939989566803,0.7953
26,0.6286200284957886,0.751
27,0.6154199838638306,0.7643
28,0.622439980506897,0.8058
29,0.6203200221061707,0.8288
30,0.6315799951553345,0.751
31,0.6345199942588806,0.7963
32,0.6362000107765198,0.7909
33,0.656059980392456,0.7494
34,0.6342999935150146,0.7589
35,0.6556000113487244,0.7937
36,0.6393200159072876,0.8204
37,0.6498600244522095,0.8385
38,0.616320013999939,0.7714
39,0.637440025806427,0.809
40,0.6380800008773804,0.8222
41,0.6416599750518799,0.8216
42,0.6431999802589417,0.7951
43,0.6435800194740295,0.8588
44,0.6624400019645691,0.773
45,0.6510199904441833,0.8186
46,0.645579993724823,0.8295
47,0.638979971408844,0.7907
48,0.6456599831581116,0.835
49,0.6504799723625183,0.8417
50,0.6606199741363525,0.8224
51,0.6418600082397461,0.8033
52,0.6510000228881836,0.8358
53,0.662559986114502,0.7964
54,0.6365200281143188,0.8135
55,0.6550599932670593,0.7842
56,0.6149600148200989,0.8294
57,0.656279981136322,0.8427
58,0.6376399993896484,0.8312
59,0.649179995059967,0.8257
60,0.653439998626709,0.7801
61,0.7006000280380249,0.9078
62,0.7179999947547913,0.9142
63,0.7311400175094604,0.9008
64,0.7112600207328796,0.9074
65,0.7223600149154663,0.8947
66,0.7058200240135193,0.9129
67,0.7082599997520447,0.9128
68,0.7386400103569031,0.9117
69,0.725600004196167,0.9101
70,0.714739978313446,0.9202
71,0.7076399922370911,0.913
72,0.6984999775886536,0.9161
73,0.7444199919700623,0.9172
74,0.7289199829101562,0.909
75,0.7315400242805481,0.9048
76,0.7191200256347656,0.9124
77,0.7353000044822693,0.9027
78,0.7341399788856506,0.9075
79,0.7272800207138062,0.9148
80,0.7346400022506714,0.8982
81,0.7072799801826477,0.9025
82,0.7329800128936768,0.9069
83,0.7424799799919128,0.9069
84,0.723360002040863,0.9156
85,0.7310199737548828,0.9083
86,0.731220006942749,0.9167
87,0.7487999796867371,0.9165
88,0.7155200242996216,0.9121
89,0.7004799842834473,0.9198
90,0.72843998670578,0.9113
91,0.7280799746513367,0.9127
92,0.752560019493103,0.903
93,0.7539799809455872,0.9114
94,0.7200999855995178,0.9058
95,0.7418199777603149,0.9235
